season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
2,0,500,0,4,1,0,3,75,0,75,12
1,2,500,0,4,1,0,3,75,0,125,11
2,1,500,1,4,2,0,1,400,0,0,6
2,2,1000,0,5,3,0,3,125,25,100,7
2,2,500,0,4,2,0,3,200,50,150,5
2,1,1000,0,5,2,0,3,100,50,150,8
1,1,1000,1,5,2,0,2,600,400,0,2
2,2,1000,0,5,3,0,3,50,0,125,7
2,2,1000,1,5,1,0,3,200,0,400,13
1,0,500,1,3,2,0,2,400,400,0,2
2,0,500,0,5,1,0,3,50,25,150,13
1,1,500,1,5,2,0,2,600,400,0,2
2,0,500,1,4,3,0,2,200,0,0,4
2,1,500,0,4,2,0,3,150,50,50,5
2,2,500,0,5,2,0,3,75,75,50,8
2,1,500,0,5,2,0,3,150,25,125,8
2,2,1000,0,5,3,0,3,50,50,25,7
2,2,500,0,5,2,0,3,125,25,125,8
2,2,500,0,4,3,0,3,100,0,100,1
2,2,1000,0,5,2,0,3,400,100,100,8
2,2,1000,0,5,3,0,3,400,0,600,7
1,2,1000,1,5,2,0,1,150,0,0,6
2,2,1000,1,5,1,0,3,150,0,200,13
2,1,1000,1,5,1,0,3,600,0,200,13
2,1,1000,0,5,3,0,3,400,0,50,7
2,0,1000,0,5,1,0,3,50,0,100,13
2,2,500,0,5,3,0,3,50,0,200,7
2,1,500,0,4,3,0,3,50,50,25,1
2,2,500,0,4,3,0,3,75,50,150,1
2,2,500,0,5,2,0,3,200,0,150,16
2,2,1000,0,4,3,0,3,200,100,200,1
2,2,1000,0,5,2,0,3,50,50,125,8
2,2,1000,0,4,3,0,3,75,0,25,1
2,2,500,0,4,3,0,3,125,50,150,1
2,1,500,0,4,3,0,3,150,50,150,1
2,1,1000,0,4,3,0,3,600,600,400,1
1,2,1000,1,4,2,0,2,300,50,0,2
1,1,500,0,4,1,0,3,400,0,150,11
2,2,500,0,5,3,0,3,200,400,600,7
1,0,1000,1,4,2,0,2,15,25,0,2
2,2,500,0,5,1,0,1,600,400,0,3
2,2,500,0,4,3,0,3,100,100,100,1
1,0,1000,0,5,3,0,2,200,400,0,9
2,1,500,1,3,2,0,2,600,600,0,2
2,2,1000,0,4,3,0,3,600,400,400,1
2,2,500,0,4,3,0,3,125,0,150,1
1,0,500,1,5,2,0,1,400,0,0,6
2,0,500,1,5,2,0,2,400,600,0,2
2,2,1000,0,5,3,0,3,75,50,75,7
2,1,1000,0,5,3,0,3,100,25,50,7
2,1,500,0,4,3,0,3,75,25,100,1
2,0,1000,0,5,1,0,3,75,0,150,13
2,0,500,0,5,3,0,2,150,100,0,9
2,2,1000,0,4,3,0,3,300,50,200,1
1,1,1000,0,4,1,0,3,600,0,400,11
2,1,1000,0,5,3,0,3,150,100,100,7
2,0,1000,1,3,2,0,2,600,600,0,2
2,1,1000,0,3,3,0,2,400,400,0,9
1,2,1000,0,5,3,0,2,200,100,0,9
2,1,500,0,4,3,0,3,50,75,150,1
2,2,500,0,4,3,0,3,100,0,75,1
2,2,500,0,5,3,0,3,150,75,75,7
1,1,1000,0,5,2,0,1,150,0,0,14
2,2,500,1,4,1,0,3,200,0,50,11
1,1,1000,0,4,1,0,3,125,0,75,11
2,1,500,0,4,3,0,3,75,50,75,1
2,2,500,0,5,2,0,3,400,200,400,8
2,1,500,0,4,3,0,3,50,0,75,1
2,2,500,0,5,3,0,3,300,0,50,7
2,0,500,0,5,1,0,3,125,75,100,13
2,2,1000,0,5,3,0,3,600,200,200,7
2,2,1000,0,5,3,0,3,25,50,150,7
2,1,1000,0,4,2,0,3,100,0,200,10
2,1,1000,0,5,3,0,3,50,50,150,7
2,0,500,0,5,1,0,3,100,25,150,13
2,1,1000,0,5,2,0,1,150,0,0,14
1,1,500,0,4,1,0,3,600,0,400,11
2,2,1000,0,5,2,0,3,100,25,25,8
2,2,500,0,4,2,0,1,300,0,0,14
2,1,1000,0,4,3,0,3,100,25,125,1
2,2,500,0,5,2,0,3,400,100,150,8
1,2,500,1,4,2,0,2,300,100,0,2
2,0,1000,1,4,2,0,2,15,25,0,2
2,2,1000,0,5,3,0,3,400,0,100,7
2,0,500,0,4,1,0,3,150,0,200,12
2,1,1000,0,5,3,0,3,400,50,200,7
2,1,500,0,5,2,0,3,600,600,600,8
2,0,500,0,3,3,0,2,150,0,0,15
2,2,500,0,4,2,0,3,400,400,200,5
1,1,500,1,5,3,0,2,200,0,0,4
1,0,500,1,3,2,0,2,200,600,0,2
1,1,1000,0,4,1,0,3,400,0,150,11
1,1,500,0,5,2,0,3,75,0,25,11
1,2,1000,0,4,1,0,3,200,0,200,11
2,2,500,0,4,3,0,3,125,50,50,1
2,0,1000,0,5,2,0,3,25,25,50,13
2,2,500,0,5,2,0,3,100,0,100,16
1,2,1000,0,5,2,0,1,400,0,0,14
2,1,1000,0,5,2,0,3,50,0,200,16
2,1,500,0,4,2,0,3,100,25,125,10
2,1,500,0,5,2,0,3,400,50,200,8
2,1,1000,0,5,3,0,2,300,100,0,9
2,1,1000,0,5,3,0,3,200,200,600,7
1,1,500,1,3,2,0,2,400,200,0,2
1,1,1000,0,5,1,0,2,150,0,25,11
1,1,500,0,5,2,0,3,25,0,150,11
2,2,1000,1,5,1,0,3,300,0,100,13
2,1,500,0,5,3,0,3,150,50,50,7
