cell_id,city_name,pop,tom_prod_month_0,tom_prod_month_1,tom_prod_month_2,tom_prod_month_3,tom_prod_month_4,tom_prod_month_5,tom_prod_month_6,tom_prod_month_7,tom_prod_month_8,tom_prod_month_9,tom_prod_month_10,tom_prod_month_11
639067,Haiphong,9577524.0,16576.22,16436.440000000002,13657.660000000002,10991.31,4558.150000000001,4062.98,3277.1199999999994,2064.61,2735.28,5525.14,12675.039999999997,16797.939999999995
483548,Jakarta,18294172.0,279.8,314.22,669.31,911.3400000000001,1254.4200000000003,2140.35,2325.19,2613.96,2464.0200000000004,1471.34,955.21,676.3499999999999
590117,Nha Trang,2949173.0,5478.819999999999,5868.090000000001,4765.719999999999,3007.4700000000007,1450.12,1933.7300000000005,1935.6399999999999,1433.08,763.8,524.32,1089.24,3092.7900000000013
565697,Iligan,7485086.0,583.5600000000001,945.82,1112.1299999999999,1155.5600000000002,790.9599999999999,408.45,443.22,547.34,499.40000000000003,433.06000000000006,273.33,453.19000000000005
541134,Kuantan,962044.0,437.35999999999996,1189.0999999999997,796.79,898.37,853.7299999999998,1145.52,1159.83,910.2599999999999,836.74,484.25,244.61999999999995,70.97999999999999
647648,Chittagong,12069552.0,7286.220000000001,6357.249999999998,4667.82,2635.57,470.15000000000003,66.71000000000001,40.07,113.45999999999998,496.28000000000003,1334.07,4764.56,6945.26
516642,Bukittinggi,2067264.0,595.8000000000001,815.45,526.6199999999999,479.21999999999997,1063.91,1899.1200000000003,1502.2699999999995,1299.1,746.65,612.2,509.09999999999997,509.1
598722,Nonthaburi,11847952.0,830.3999999999997,802.4499999999999,682.5299999999999,487.86999999999995,245.28,334.94999999999993,317.3200000000001,274.07,116.49999999999997,175.51,618.4499999999999,842.0799999999999
598757,Qui Nhon,2902537.0,4970.790000000002,5769.190000000001,5002.570000000001,3781.55,1640.9099999999999,1662.0799999999992,1852.12,1269.8699999999997,752.9399999999999,526.34,997.51,3153.22
598805,Batangas,12720700.0,1602.4300000000005,1990.6599999999999,1943.8899999999999,1759.8000000000002,928.3699999999999,451.95,243.50999999999996,350.18,321.92,278.54,489.87999999999994,779.5899999999999
549773,Kuala Terengganu,746534.0,303.02,848.0799999999999,609.76,961.76,608.92,699.13,566.31,521.42,360.1599999999999,239.95,25.509999999999998,9.959999999999997
476353,Tasikmalaya,7253652.0,1088.3999999999999,1636.3399999999997,1076.6200000000001,2089.81,4283.37,7471.53,9018.630000000001,11845.28,7726.189999999999,3172.6499999999996,1245.83,1104.6299999999999
558402,Hat Yai,2700088.0,66.81,76.27999999999999,49.690000000000005,37.190000000000005,27.29,33.38999999999999,31.52,28.11,21.22,12.990000000000002,9.09,17.02
536807,Kuala Lumpur,7540255.0,2967.1799999999994,3452.41,2227.2,1692.6499999999996,2289.29,4006.89,3788.9399999999996,3440.75,2300.17,1468.9399999999998,1039.31,1630.71
558489,Zamboanga,3431828.0,219.13000000000002,245.82999999999996,190.64999999999998,183.05,92.46,71.83,70.89999999999999,64.81,81.11,69.95,105.15,175.23
