season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
2,1,500,0,4,2,0,3,150,25,75,E
1,1,1000,0,5,2,0,2,20,0,5,E
2,2,500,0,5,2,0,3,100,25,150,F
2,1,500,0,5,2,0,3,150,75,100,F
1,0,1000,0,5,1,0,1,600,400,0,E
2,2,500,0,5,2,0,3,125,75,100,F
2,0,500,0,5,1,0,3,75,25,125,F
2,1,1000,0,5,2,0,3,600,200,400,F
2,1,1000,0,5,3,0,3,125,50,25,F
2,1,1000,0,5,2,0,3,100,100,75,F
2,2,1000,0,4,2,0,3,150,75,75,E
2,2,500,0,4,3,0,3,400,600,400,E
2,2,500,0,4,3,0,3,50,50,125,E
2,1,1000,0,4,3,0,3,300,100,100,E
2,0,1000,0,3,1,0,3,300,0,50,E
1,1,1000,0,5,1,0,1,150,100,0,E
2,0,500,0,5,1,0,3,125,0,75,F
2,2,1000,0,5,2,0,3,125,0,150,F
2,2,500,0,4,2,0,3,400,0,100,E
1,1,500,0,5,1,0,1,150,100,0,E
2,1,1000,0,4,2,0,3,600,400,200,E
2,2,500,0,4,3,0,3,75,100,75,E
2,2,1000,0,5,2,0,3,125,50,50,F
2,1,500,0,4,2,0,3,400,100,200,E
2,2,1000,0,4,2,0,3,600,600,200,E
1,2,1000,0,5,2,0,2,25,0,5,E
2,0,500,0,5,1,0,3,600,0,600,F
2,1,1000,0,5,2,0,3,125,50,125,F
2,1,500,0,3,2,0,3,125,75,50,E
2,2,1000,0,5,3,0,3,125,75,125,F
2,1,1000,0,5,3,0,3,125,0,125,F
2,1,500,0,4,3,0,3,600,200,600,E
2,2,1000,0,4,3,0,3,200,100,50,E
2,2,500,0,4,3,0,3,100,25,25,E
2,2,1000,0,3,2,0,3,125,25,50,E
2,0,500,0,5,1,0,3,125,25,125,F
2,0,1000,0,5,1,0,3,75,25,75,F
2,2,1000,0,5,2,0,3,75,0,75,F
2,1,1000,0,5,3,0,3,75,50,125,F
2,2,1000,0,3,2,0,3,75,100,50,E
1,2,1000,0,4,1,0,3,100,0,75,E
2,1,1000,0,4,3,0,3,100,75,100,E
2,2,500,0,4,3,0,3,125,100,75,E
2,1,500,0,4,3,0,3,150,100,75,E
1,2,1000,0,4,1,0,3,100,0,125,E
2,2,500,0,4,3,0,3,125,25,75,E
2,2,1000,0,4,2,0,3,100,50,100,E
2,1,1000,0,4,3,0,3,125,25,150,E
2,1,500,0,5,3,0,3,200,100,100,F
2,2,1000,0,4,3,0,3,200,50,50,E
2,2,500,0,4,2,0,3,75,100,100,E
2,2,500,0,4,2,0,3,400,0,600,E
2,2,1000,0,4,2,0,3,125,100,50,E
2,2,1000,0,4,3,0,3,200,0,150,E
2,1,1000,0,4,3,0,3,400,0,200,E
2,1,1000,0,3,3,0,3,75,100,25,E
2,2,1000,0,5,2,0,3,75,50,150,F
2,2,500,0,4,3,0,3,100,50,125,E
2,2,1000,0,5,3,0,3,75,25,50,F
2,1,1000,0,5,3,0,3,100,50,75,F
2,1,500,0,5,2,0,3,50,0,25,F
2,2,1000,0,4,3,0,3,75,100,125,E
2,1,500,0,4,3,0,3,75,75,125,E
1,2,500,0,4,1,0,3,150,0,100,E
2,1,1000,0,5,2,0,3,75,0,125,F
2,1,1000,0,5,3,0,3,50,100,75,F
2,2,500,1,5,1,0,3,300,0,100,F
1,2,500,0,5,1,0,2,75,0,25,E
2,1,1000,1,5,1,0,3,150,0,75,F
2,2,1000,0,5,2,0,3,100,0,100,F
