"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.317402681827337,1765.3251792847
"latency_period",0.295864890164869,1092.85009104433
"a_long",0.266827069970897,871.429431865491
"moore",0.119274691867203,452.655607518573
"a_local",0.080895885619726,332.032117396337
"seed",0.102165775588202,325.908242941376
"season",0.101627614427843,310.472331858111
"beta",0.0191477658677365,64.6959092594314
"a_sd",0.00828142739475416,45.6707084877497
"kappa",-0.000772443161179396,2.25060134091668
