"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.295560597469717,1742.90970187047
"a_long",0.264559608343633,1056.24671813826
"latency_period",0.272438252338315,1038.9913062706
"moore",0.0684690288828196,330.471943665851
"seed",0.0401241056649732,193.22131072518
"season",0.0582925830499608,186.760501035946
"a_local",0.0270857732029258,75.203377435441
"a_sd",0.00779163253932037,50.3448973225613
"beta",0.0104938223237189,25.2196650134573
"kappa",-0.000491987968921814,1.3662360479002
