"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.316785706613745,1734.16870305293
"latency_period",0.287433582177861,1177.96380352118
"a_long",0.276000882371118,992.832969505793
"moore",0.105619255939883,460.048645168198
"season",0.0997964273507696,307.564759559835
"seed",0.0712452955782114,233.838898858095
"a_local",0.0433379055972606,164.884849207182
"a_sd",0.00736069446858892,51.1746733495825
"beta",0.0155288284188154,48.6423278991669
"kappa",-0.000643367930877785,1.8756882914068
