"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"a_long",0.264940401305055,1237.21405222606
"latency_period",0.153593166503189,1062.13456239165
"moore",0.062859554553507,358.556352368569
"seed",0.0377832857834347,229.32080078501
"season",0.00392667016436211,126.750435776873
"start_month",0.00728406710987962,99.0747313879444
"a_local",0.023617937872267,73.3741628251508
"a_sd",0.00446991512594852,35.0293283623305
"beta",0.00196039680623576,16.8779896805541
"kappa",-0.000161358686195285,0.414372916500937
