cell,is_city,city,mapspam,population
557057,0,NaN,5124.7,75252.0
557058,0,NaN,6708.2,24753.0
557059,0,NaN,10216.7,393836.0
557060,0,General Santos,6309.9000000000015,257048.0
557061,0,General Santos,12287.3,69461.0
557062,0,Davao,13511.000000000002,188129.0
557063,0,Davao,0.0,5589.0
557065,0,NaN,2817.7000000000003,36566.0
557066,0,NaN,0.0,0.0
590072,0,NaN,4.4,147.0
590073,0,NaN,33.5,351.0
590074,0,NaN,31.599999999999998,5280.0
590075,0,NaN,2840.6999999999994,335654.0
590076,0,NaN,2724.6000000000004,46272.0
590077,0,NaN,2285.0,11110.0
590078,0,NaN,0.0,847.0
590079,0,NaN,2013.7,2455.0
590080,0,NaN,7045.499999999999,91674.0
590089,0,NaN,745.9000000000001,50453.0
590090,0,NaN,1552.3,56610.0
590091,0,NaN,2779.3999999999996,71667.0
590092,0,NaN,0.0,741.0
590093,0,NaN,0.0,3249.0
590094,0,NaN,0.0,7991.0
590095,0,NaN,617.9999999999999,17541.0
590096,0,NaN,1006.5,54862.0
590097,0,NaN,592.4000000000001,44685.0
590098,0,NaN,7669.199999999999,69245.0
590099,0,NaN,3347.0000000000005,98223.0
590100,0,NaN,130.3,45563.0
590101,0,NaN,6529.9,148137.0
590102,0,NaN,4577.6,131952.0
590103,0,NaN,4516.0,102791.0
590104,0,NaN,3073.9,51589.0
590105,0,NaN,3514.8,67728.0
590106,0,NaN,0.0,34005.0
590107,0,NaN,114.1,10545.0
590108,0,NaN,193.9,1400.0
590109,0,NaN,433.5,16300.0
590110,0,NaN,229.6,21233.0
590111,0,NaN,6582.4,114638.0
590112,0,NaN,7118.2,56916.0
590113,0,NaN,15954.200000000003,92180.0
590114,0,NaN,1.3,1538.0
590115,0,NaN,768.5,5976.0
590116,0,NaN,8416.0,40174.0
590117,0,NaN,16976.0,462977.0
590118,0,NaN,1605.9,675.0
590160,0,NaN,0.0,5575.0
590161,0,NaN,0.0,433.0
590164,0,NaN,0.0,10751.0
590165,0,NaN,6144.0,172369.0
590166,0,NaN,1490.4999999999998,34447.0
590168,0,NaN,1605.6,68203.0
590169,0,NaN,1591.5,82373.0
590170,0,NaN,143.9,5771.0
590171,0,NaN,690.3,86635.0
590173,0,NaN,0.0,4115.0
590174,0,NaN,14970.699999999999,158674.0
590175,0,NaN,6021.499999999999,118554.0
590176,0,NaN,1098.3,10853.0
590177,0,NaN,0.0,12593.0
590178,0,NaN,275.5,50953.0
590179,0,NaN,1022.1,87706.0
590180,0,NaN,762.4000000000001,103999.0
590181,0,NaN,1547.5,152243.0
590182,0,NaN,525.3,53330.0
459121,0,NaN,1.6,8.0
459122,0,NaN,0.0,16.0
459123,0,NaN,0.0,0.0
459128,0,NaN,229.4,7055.0
459134,0,NaN,66.2,5853.0
459135,0,NaN,217.0,17898.0
459136,0,NaN,114.9,10114.0
459137,0,NaN,0.0,22.0
639068,0,Haiphong,9564.0,145404.0
639069,0,Haiphong,4515.9,241600.0
639070,0,NaN,24.200000000000003,3267.0
623177,0,NaN,0.0,12.0
623178,0,NaN,501.59999999999997,32130.0
623179,0,NaN,0.0,2557.0
623180,0,NaN,586.9,10.0
623181,0,NaN,17341.300000000003,62161.0
623182,0,NaN,17376.1,283703.0
623183,0,NaN,7130.9,254581.0
623184,0,NaN,4478.3,47464.0
623185,0,NaN,0.0,365.0
623186,0,NaN,4087.8,22582.0
623187,0,NaN,13798.3,239381.0
623188,0,NaN,4742.3,40789.0
623189,0,NaN,0.0,452.0
623190,0,NaN,4.0,1543.0
623191,0,NaN,2.1,544.0
