Buon Me Thuot,65100.8,80335.4,0,1
Rajshahi,39577.1,93000.8,0,1
Baguio City,37889.4,52110.7,-0.0100156,0.989984
Cirebon,33742.2,61754.5,-0.0230917,0.976908
Rangpur,33607.6,75966.2,-0.0459838,0.954016
Cagayan de Oro,30959.6,37534.7,0,1
Sukabumi,27221.9,46321.2,0,1
Haiphong,27215.1,76547.4,0,1
Pematangsiantar,26223,39362.6,0,1
Tasikmalaya,24186,51748.7,0,1
Bandung,22893.9,69655.3,-0.0135436,0.986456
Chiang Mai,15497.9,17798.2,0,1
Bengkulu,11755.9,18864.4,0,1
Malacca,11646.4,14702.6,0,1
Hanoi,11064.5,67200,0,1
Rach Gia,10931.4,23712.4,0,1
Surakarta,10534.5,61733.9,-0.0844197,0.91558
Naypyidaw,9532.29,21495.3,0,1
Qui Nhon,8733.3,22858.4,-0.0580821,0.941918
Jember,8550.24,34400.1,-0.0693995,0.9306
Angeles,7293.48,19336.2,-0.0603526,0.939647
Kuantan,4576.94,6154.2,0,1
Denpasar,4114.8,20416,-0.0887325,0.911267
Medan,3668.18,28384.7,-0.388545,0.611455
Seremban,3237.7,5467.63,0,1
Bukittinggi,2695.76,10549.7,-0.0957227,0.904277
Chittagong,2394.76,35175,-0.371321,0.628679
Gorontalo,1834.23,6411.54,-0.0283658,0.971634
Olongapo,1485.56,5233.32,-0.19144,0.80856
Kuala Lumpur,1126.36,13488.5,0,1
Jambi,1063.1,7845.44,-0.231832,0.768168
Bago,835.919,13507.7,-0.408156,0.591844
Long Xuyen,611.045,22727.5,-0.414261,0.585739
Semarang,296.935,29946.9,-0.452311,0.547689
Mandalay,151.769,24063,-0.488624,0.511376
Kota Baharu,67.2079,4471.16,-0.480637,0.519363
Ipoh,37.9614,3749.75,-0.365824,0.634176
Iloilo,-67.3382,7945.6,-0.524707,0.475293
Tawau,-357.121,861.404,-0.973718,0.0262819
Kuala Terengganu,-434.7,782.576,-1,0
Kota Kinabalu,-464.876,1960.73,-0.964211,0.0357885
Iligan,-474.205,7646.1,-0.566757,0.433243
Khulna,-764.305,52993.8,-0.533294,0.466706
Sungai Petani,-844.11,278.105,-1,0
George Town,-1097.7,2217.82,-1,0
Sandakan,-1137.34,108.277,-1,0
Nakhon Ratchasima,-1137.58,2413.05,-1,0
Kuching,-1499.06,284.028,-1,0
Balikpapan,-1558.35,1367.31,-1,0
Alor Setar,-1739.81,546.283,-1,0
Banda Aceh,-1831.46,3256.61,-0.94046,0.05954
Hat Yai,-2022.92,410.53,-1,0
Zamboanga,-2152.52,1570.13,-1,0
Naga,-2230.14,4837.67,-0.790016,0.209984
Padang,-2321.36,5472.54,-0.883962,0.116038
General Santos,-2373.94,3670.91,-0.904962,0.0950383
Samarinda,-2390.19,4460.54,-0.890189,0.109811
Manado,-2453.03,3808.68,-1,0
Ca Mau,-2558.69,8241.69,-1,0
Batangas,-2656.08,11141.6,-0.942135,0.0578651
Palu,-3442.9,886.777,-1,0
Kupang,-3645.56,760.291,-1,0
Davao,-4042.92,8603.02,-0.888361,0.111639
Viet Tri,-4209.07,18869.9,-0.861028,0.138972
Legazpi,-4817.66,1105.16,-1,0
Thai Nguyen,-5046.07,10144.1,-0.985339,0.0146612
Pontianak,-5117.04,1142.39,-1,0
Bandjarmasin,-5395.27,4000.79,-1,0
Mataram,-5426.53,7367.54,-1,0
Bacolod,-5441.74,2760.99,-1,0
Nonthaburi,-5868.76,4809.19,-1,0
Yogyakarta,-6296.53,20442.8,-1,0
Bangkok,-6468.59,2076.47,-1,0
Cilacap,-6782.09,21936.5,-1,0
Hue,-6820.89,1326.42,-1,0
Ujungpandang,-6844.15,9929.18,-1,0
Bogor,-7147.49,47997.7,-0.934989,0.0650111
Comilla,-7158.39,38708.6,-0.759493,0.240507
Pakalongan,-7412.88,15607.7,-1,0
Malang,-8830.94,32829,-1,0
Cebu,-9013.05,4050.29,-1,0
Pekanbaru,-9208.82,1656.89,-1,0
Palembang,-9739.56,3272.87,-1,0
Rangoon,-10520,24667.9,-1,0
Mymensingh,-10658.1,47529.1,-1,0
Da Nang,-11250.9,1909.21,-1,0
Bandar Lampung,-12812,10678.6,-1,0
Singapore,-13117.8,3653.42,-1,0
Surabaya,-16686.3,7110.95,-1,0
Manila,-17322.6,2694.54,-1,0
Vinh,-17914.3,5006.83,-1,0
Can Tho,-19004.4,23504.5,-1,0
Bien Hoa,-19007.7,9607.85,-1,0
Quezon City,-27035.9,2699.4,-1,0
Ho Chi Minh City,-37844.1,22185.1,-1,0
Jakarta,-53438.2,16075.5,-1,0
Dhaka,-56998.7,40667.1,-1,0
