cell_id,admin,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
557057,PH-SUK,13.75,13.75,13.75,11.27,11.27,11.27,11.09,11.09,11.09,12.18,12.18,12.18,18.64,18.64,18.64,15.28,15.28,15.28,15.04,15.04,15.04,16.52,16.52,16.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557058,PH-SUK,18.00,18.00,18.00,14.75,14.75,14.75,14.52,14.52,14.52,15.95,15.95,15.95,24.40,24.40,24.40,20.00,20.00,20.00,19.69,19.69,19.69,21.62,21.62,21.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557059,PH-SUK,26.42,26.42,26.42,23.13,23.13,23.13,22.68,22.68,22.68,24.07,24.07,24.07,35.81,35.81,35.81,31.35,31.35,31.35,30.75,30.75,30.75,32.62,32.62,32.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557060,PH-SUK,16.31,16.31,16.31,14.28,14.28,14.28,14.01,14.01,14.01,14.86,14.86,14.86,22.12,22.12,22.12,19.36,19.36,19.36,18.99,18.99,18.99,20.15,20.15,20.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557061,PH-SUK,32.02,32.02,32.02,27.62,27.62,27.62,27.44,27.44,27.44,28.72,28.72,28.72,43.41,43.41,43.41,37.45,37.45,37.45,37.20,37.20,37.20,38.93,38.93,38.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557062,PH-DAS,29.12,29.12,29.12,25.12,25.12,25.12,24.96,24.96,24.96,26.12,26.12,26.12,49.98,49.98,49.98,43.12,43.12,43.12,42.83,42.83,42.83,44.83,44.83,44.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557063,PH-DAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557065,PH-DAO,5.06,5.06,5.06,5.72,5.72,5.72,5.64,5.64,5.64,5.55,5.55,5.55,8.69,8.69,8.69,9.81,9.81,9.81,9.67,9.67,9.67,9.53,9.53,9.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557066,PH-DAO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590073,MM-05,0.24,0.24,0.24,0.11,0.11,0.11,0.06,0.06,0.06,0.20,0.20,0.20,0.21,0.21,0.21,0.09,0.09,0.09,0.05,0.05,0.05,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590074,MM-05,0.23,0.23,0.23,0.10,0.10,0.10,0.06,0.06,0.06,0.19,0.19,0.19,0.20,0.20,0.20,0.09,0.09,0.09,0.05,0.05,0.05,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590075,MM-05,19.61,19.61,19.61,9.67,9.67,9.67,6.09,6.09,6.09,16.53,16.53,16.53,16.94,16.94,16.94,8.35,8.35,8.35,5.26,5.26,5.26,14.28,14.28,14.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590076,MM-05,18.81,18.81,18.81,9.27,9.27,9.27,5.84,5.84,5.84,15.86,15.86,15.86,16.25,16.25,16.25,8.01,8.01,8.01,5.05,5.05,5.05,13.70,13.70,13.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590077,MM-05,13.65,13.65,13.65,9.30,9.30,9.30,7.38,7.38,7.38,11.42,11.42,11.42,11.79,11.79,11.79,8.03,8.03,8.03,6.37,6.37,6.37,9.86,9.86,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590078,MM-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590079,TH-77,3.49,3.49,3.49,3.11,3.11,3.11,2.98,2.98,2.98,2.90,2.90,2.90,1.15,1.15,1.15,1.02,1.02,1.02,0.98,0.98,0.98,0.95,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590080,TH-77,12.22,12.22,12.22,10.86,10.86,10.86,10.41,10.41,10.41,10.16,10.16,10.16,4.02,4.02,4.02,3.57,3.57,3.57,3.42,3.42,3.42,3.34,3.34,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590089,TH-22,1.70,1.70,1.70,0.89,0.89,0.89,0.58,0.58,0.58,1.46,1.46,1.46,0.56,0.56,0.56,0.29,0.29,0.29,0.19,0.19,0.19,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590090,TH-23,3.54,3.54,3.54,1.85,1.85,1.85,1.20,1.20,1.20,3.03,3.03,3.03,1.16,1.16,1.16,0.61,0.61,0.61,0.39,0.39,0.39,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590091,TH-23,6.49,6.49,6.49,3.33,3.33,3.33,1.86,1.86,1.86,5.54,5.54,5.54,2.13,2.13,2.13,1.10,1.10,1.10,0.61,0.61,0.61,1.82,1.82,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590092,KH-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590093,KH-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590094,KH-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590095,KH-15,3.51,3.51,3.51,2.70,2.70,2.70,2.26,2.26,2.26,2.83,2.83,2.83,3.03,3.03,3.03,2.33,2.33,2.33,1.95,1.95,1.95,2.45,2.45,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590096,KH-15,5.71,5.71,5.71,4.39,4.39,4.39,3.68,3.68,3.68,4.61,4.61,4.61,4.93,4.93,4.93,3.80,3.80,3.80,3.17,3.17,3.17,3.98,3.98,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590097,KH-15,3.37,3.37,3.37,2.59,2.59,2.59,2.15,2.15,2.15,2.70,2.70,2.70,2.91,2.91,2.91,2.24,2.24,2.24,1.86,1.86,1.86,2.34,2.34,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590098,KH-4,43.67,43.67,43.67,33.55,33.55,33.55,27.89,27.89,27.89,35.01,35.01,35.01,37.72,37.72,37.72,28.98,28.98,28.98,24.09,24.09,24.09,30.24,30.24,30.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590099,KH-4,18.98,18.98,18.98,14.58,14.58,14.58,12.08,12.08,12.08,15.50,15.50,15.50,16.39,16.39,16.39,12.60,12.60,12.60,10.44,10.44,10.44,13.39,13.39,13.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590100,KH-6,0.74,0.74,0.74,0.57,0.57,0.57,0.47,0.47,0.47,0.60,0.60,0.60,0.64,0.64,0.64,0.49,0.49,0.49,0.41,0.41,0.41,0.52,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590101,KH-6,37.04,37.04,37.04,27.69,27.69,27.69,23.41,23.41,23.41,31.17,31.17,31.17,31.99,31.99,31.99,23.92,23.92,23.92,20.22,20.22,20.22,26.92,26.92,26.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590102,KH-3,25.96,25.96,25.96,19.41,19.41,19.41,16.41,16.41,16.41,21.85,21.85,21.85,22.43,22.43,22.43,16.77,16.77,16.77,14.17,14.17,14.17,18.87,18.87,18.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590103,KH-3,25.78,25.78,25.78,18.91,18.91,18.91,15.71,15.71,15.71,22.12,22.12,22.12,22.27,22.27,22.27,16.33,16.33,16.33,13.57,13.57,13.57,19.10,19.10,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590104,KH-10,17.55,17.55,17.55,12.87,12.87,12.87,10.69,10.69,10.69,15.05,15.05,15.05,15.16,15.16,15.16,11.12,11.12,11.12,9.24,9.24,9.24,13.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590105,KH-10,20.59,20.59,20.59,14.89,14.89,14.89,11.55,11.55,11.55,17.19,17.19,17.19,17.79,17.79,17.79,12.86,12.86,12.86,9.98,9.98,9.98,14.85,14.85,14.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590106,KH-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590107,KH-11,0.70,0.70,0.70,0.48,0.48,0.48,0.35,0.35,0.35,0.56,0.56,0.56,0.61,0.61,0.61,0.42,0.42,0.42,0.30,0.30,0.30,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590108,KH-11,1.19,1.19,1.19,0.82,0.82,0.82,0.59,0.59,0.59,0.95,0.95,0.95,1.03,1.03,1.03,0.71,0.71,0.71,0.51,0.51,0.51,0.82,0.82,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590109,KH-11,2.73,2.73,2.73,1.78,1.78,1.78,1.25,1.25,1.25,2.15,2.15,2.15,2.36,2.36,2.36,1.54,1.54,1.54,1.08,1.08,1.08,1.86,1.86,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590110,KH-11,1.45,1.45,1.45,0.94,0.94,0.94,0.66,0.66,0.66,1.14,1.14,1.14,1.25,1.25,1.25,0.82,0.82,0.82,0.57,0.57,0.57,0.99,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590111,VN-72,167.77,167.77,167.77,112.75,112.75,112.75,83.89,83.89,83.89,138.42,138.42,138.42,34.66,34.66,34.66,23.29,23.29,23.29,17.33,17.33,17.33,28.60,28.60,28.60,54.33,54.33,54.33,36.51,36.51,36.51,27.17,27.17,27.17,44.82,44.82,44.82
590112,VN-72,181.43,181.43,181.43,121.93,121.93,121.93,90.72,90.72,90.72,149.68,149.68,149.68,37.48,37.48,37.48,25.19,25.19,25.19,18.74,18.74,18.74,30.92,30.92,30.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590113,VN-33,394.50,394.50,394.50,281.01,281.01,281.01,233.43,233.43,233.43,309.79,309.79,309.79,81.50,81.50,81.50,58.06,58.06,58.06,48.23,48.23,48.23,64.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
