cell_id,lat,lon,plat,plon,1,2,3,4,5,6,7,8,9,10,11,12
557057,6.625,124.125,6.75,124.25,78.98,71.08,88.14,115.86,195.28,225.46,209.52,164.02,186.69,191.84,126.40,101.58
557058,6.625,124.375,6.75,124.25,78.98,71.08,88.14,115.86,195.28,225.46,209.52,164.02,186.69,191.84,126.40,101.58
557059,6.625,124.625,6.75,124.75,78.49,64.32,68.35,91.01,148.18,171.52,147.51,152.61,139.64,143.69,114.46,92.74
557060,6.625,124.875,6.75,124.75,78.49,64.32,68.35,91.01,148.18,171.52,147.51,152.61,139.64,143.69,114.46,92.74
557061,6.625,125.125,6.75,125.25,118.31,106.43,102.46,125.08,204.72,218.91,171.12,197.02,190.50,182.14,158.61,149.60
557062,6.625,125.375,6.75,125.25,118.31,106.43,102.46,125.08,204.72,218.91,171.12,197.02,190.50,182.14,158.61,149.60
557063,6.625,125.625,6.75,125.75,149.89,137.71,112.03,120.94,170.09,188.08,148.52,162.75,162.00,162.73,139.23,138.26
557065,6.625,126.125,6.75,126.25,198.74,195.74,113.03,89.72,108.74,125.91,125.82,114.92,105.27,134.27,106.13,128.37
557066,6.625,126.375,6.75,126.25,198.74,195.74,113.03,89.72,108.74,125.91,125.82,114.92,105.27,134.27,106.13,128.37
590073,12.375,98.125,12.25,98.25,18.40,33.10,56.60,124.43,415.85,804.51,720.42,939.81,509.29,290.59,59.69,10.21
590074,12.375,98.375,12.25,98.25,18.40,33.10,56.60,124.43,415.85,804.51,720.42,939.81,509.29,290.59,59.69,10.21
590075,12.375,98.625,12.25,98.75,19.07,31.01,58.51,113.49,368.14,687.79,617.35,801.39,443.08,283.25,71.03,10.43
590076,12.375,98.875,12.25,98.75,19.07,31.01,58.51,113.49,368.14,687.79,617.35,801.39,443.08,283.25,71.03,10.43
590077,12.375,99.125,12.25,99.25,18.87,24.11,60.74,80.39,234.43,365.30,341.39,420.18,265.17,259.52,101.14,11.06
590078,12.375,99.375,12.25,99.25,18.87,24.11,60.74,80.39,234.43,365.30,341.39,420.18,265.17,259.52,101.14,11.06
590079,12.375,99.625,12.25,99.75,17.59,18.13,61.62,52.34,123.40,98.42,114.46,103.60,120.05,239.43,124.80,11.10
590080,12.375,99.875,12.25,99.75,17.59,18.13,61.62,52.34,123.40,98.42,114.46,103.60,120.05,239.43,124.80,11.10
590089,12.375,102.125,12.25,102.25,23.00,49.61,82.23,139.81,396.17,586.64,605.90,632.40,538.19,316.48,58.88,10.94
590090,12.375,102.375,12.25,102.25,23.00,49.61,82.23,139.81,396.17,586.64,605.90,632.40,538.19,316.48,58.88,10.94
590091,12.375,102.625,12.25,102.75,28.32,63.05,93.99,154.47,383.81,647.61,730.57,771.79,561.18,337.32,70.18,15.69
590092,12.375,102.875,12.25,102.75,28.32,63.05,93.99,154.47,383.81,647.61,730.57,771.79,561.18,337.32,70.18,15.69
590093,12.375,103.125,12.25,103.25,22.33,49.49,77.00,134.38,299.36,466.90,572.25,579.07,438.94,314.61,89.09,16.26
590094,12.375,103.375,12.25,103.25,22.33,49.49,77.00,134.38,299.36,466.90,572.25,579.07,438.94,314.61,89.09,16.26
590095,12.375,103.625,12.25,103.75,8.62,17.02,40.24,90.38,189.27,178.92,237.08,218.11,271.20,262.68,110.86,12.71
590096,12.375,103.875,12.25,103.75,8.62,17.02,40.24,90.38,189.27,178.92,237.08,218.11,271.20,262.68,110.86,12.71
590097,12.375,104.125,12.25,104.25,7.68,9.85,28.52,75.06,165.50,200.67,200.26,235.75,282.73,256.72,109.87,10.89
590098,12.375,104.375,12.25,104.25,7.68,9.85,28.52,75.06,165.50,200.67,200.26,235.75,282.73,256.72,109.87,10.89
590099,12.375,104.625,12.25,104.75,10.59,8.59,30.86,77.15,147.65,220.22,195.89,249.83,281.27,251.72,89.99,11.46
590100,12.375,104.875,12.25,104.75,10.59,8.59,30.86,77.15,147.65,220.22,195.89,249.83,281.27,251.72,89.99,11.46
590101,12.375,105.125,12.25,105.25,8.58,4.52,32.69,85.13,178.98,218.03,199.27,238.63,296.24,216.19,73.93,14.48
590102,12.375,105.375,12.25,105.25,8.58,4.52,32.69,85.13,178.98,218.03,199.27,238.63,296.24,216.19,73.93,14.48
590103,12.375,105.625,12.25,105.75,8.89,5.42,36.90,84.66,204.25,227.27,228.35,267.39,298.48,202.45,65.53,13.07
590104,12.375,105.875,12.25,105.75,8.89,5.42,36.90,84.66,204.25,227.27,228.35,267.39,298.48,202.45,65.53,13.07
590105,12.375,106.125,12.25,106.25,12.17,6.62,35.13,77.17,228.75,234.83,310.50,298.99,311.79,233.40,80.40,11.42
590106,12.375,106.375,12.25,106.25,12.17,6.62,35.13,77.17,228.75,234.83,310.50,298.99,311.79,233.40,80.40,11.42
590107,12.375,106.625,12.25,106.75,14.01,9.67,34.31,84.00,264.72,273.69,377.56,359.56,383.74,272.22,108.17,20.30
590108,12.375,106.875,12.25,106.75,14.01,9.67,34.31,84.00,264.72,273.69,377.56,359.56,383.74,272.22,108.17,20.30
590109,12.375,107.125,12.25,107.25,14.00,21.45,54.91,122.50,278.89,329.17,381.15,443.91,441.06,301.76,116.25,29.97
590110,12.375,107.375,12.25,107.25,14.00,21.45,54.91,122.50,278.89,329.17,381.15,443.91,441.06,301.76,116.25,29.97
590111,12.375,107.625,12.25,107.75,12.76,31.47,70.15,152.53,257.89,300.14,342.03,420.18,391.88,274.65,101.00,27.27
590112,12.375,107.875,12.25,107.75,12.76,31.47,70.15,152.53,257.89,300.14,342.03,420.18,391.88,274.65,101.00,27.27
590113,12.375,108.125,12.25,108.25,12.15,21.75,62.39,147.48,230.43,227.21,253.88,304.86,324.69,274.75,137.40,46.72
590114,12.375,108.375,12.25,108.25,12.15,21.75,62.39,147.48,230.43,227.21,253.88,304.86,324.69,274.75,137.40,46.72
590115,12.375,108.625,12.25,108.75,33.71,15.03,43.22,104.25,155.51,120.14,115.19,147.03,253.83,360.87,327.87,136.18
590116,12.375,108.875,12.25,108.75,33.71,15.03,43.22,104.25,155.51,120.14,115.19,147.03,253.83,360.87,327.87,136.18
