cell_id,admin,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
557057,PH-SUK,17.26,17.26,17.26,10.97,10.97,10.97,8.28,8.28,8.28,11.78,11.78,11.78,23.40,23.40,23.40,14.87,14.87,14.87,11.23,11.23,11.23,15.97,15.97,15.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557058,PH-SUK,20.55,20.55,20.55,15.57,15.57,15.57,12.37,12.37,12.37,14.74,14.74,14.74,27.85,27.85,27.85,21.11,21.11,21.11,16.77,16.77,16.77,19.98,19.98,19.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557059,PH-SUK,32.73,32.73,32.73,23.42,23.42,23.42,17.75,17.75,17.75,22.39,22.39,22.39,44.37,44.37,44.37,31.74,31.74,31.74,24.07,24.07,24.07,30.36,30.36,30.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557060,PH-SUK,19.87,19.87,19.87,14.44,14.44,14.44,11.03,11.03,11.03,14.12,14.12,14.12,26.94,26.94,26.94,19.57,19.57,19.57,14.96,14.96,14.96,19.15,19.15,19.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557061,PH-SUK,34.71,34.71,34.71,30.19,30.19,30.19,24.84,24.84,24.84,26.06,26.06,26.06,47.06,47.06,47.06,40.93,40.93,40.93,33.67,33.67,33.67,35.33,35.33,35.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557062,PH-DAS,34.73,34.73,34.73,24.54,24.54,24.54,20.85,20.85,20.85,25.20,25.20,25.20,59.60,59.60,59.60,42.12,42.12,42.12,35.79,35.79,35.79,43.25,43.25,43.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557063,PH-DAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557065,PH-DAO,3.24,3.24,3.24,7.50,7.50,7.50,5.86,5.86,5.86,5.37,5.37,5.37,5.56,5.56,5.56,12.87,12.87,12.87,10.05,10.05,10.05,9.22,9.22,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557066,PH-DAO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590073,MM-05,0.41,0.41,0.41,0.02,0.02,0.02,0.00,0.00,0.00,0.18,0.18,0.18,0.36,0.36,0.36,0.02,0.02,0.02,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590074,MM-05,0.39,0.39,0.39,0.02,0.02,0.02,0.00,0.00,0.00,0.17,0.17,0.17,0.34,0.34,0.34,0.01,0.01,0.01,0.00,0.00,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590075,MM-05,34.63,34.63,34.63,2.29,2.29,2.29,0.24,0.24,0.24,14.74,14.74,14.74,29.91,29.91,29.91,1.98,1.98,1.98,0.21,0.21,0.21,12.73,12.73,12.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590076,MM-05,33.13,33.13,33.13,2.50,2.50,2.50,0.27,0.27,0.27,13.87,13.87,13.87,28.62,28.62,28.62,2.16,2.16,2.16,0.24,0.24,0.24,11.98,11.98,11.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590077,MM-05,23.86,23.86,23.86,6.64,6.64,6.64,1.81,1.81,1.81,9.44,9.44,9.44,20.61,20.61,20.61,5.73,5.73,5.73,1.56,1.56,1.56,8.16,8.16,8.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590078,MM-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590079,TH-77,4.55,4.55,4.55,3.93,3.93,3.93,2.29,2.29,2.29,1.70,1.70,1.70,1.50,1.50,1.50,1.29,1.29,1.29,0.75,0.75,0.75,0.56,0.56,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590080,TH-77,14.37,14.37,14.37,14.19,14.19,14.19,9.37,9.37,9.37,5.72,5.72,5.72,4.73,4.73,4.73,4.67,4.67,4.67,3.08,3.08,3.08,1.88,1.88,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590089,TH-22,2.88,2.88,2.88,0.30,0.30,0.30,0.04,0.04,0.04,1.41,1.41,1.41,0.95,0.95,0.95,0.10,0.10,0.10,0.01,0.01,0.01,0.46,0.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
