id,name,country,lt,ln,pop
635,Khulna,BGD,22.839987,89.56000077,1447669.5
637,Dhaka,BGD,23.72305971,90.40857947,9899167
638,Chittagong,BGD,22.32999229,91.79996741,4224611
1256,Phnom Penh,KHM,11.55003013,104.9166345,1466000
3132,Cilacap,IDN,-7.718819561,109.0154024,1174964
3139,Bekasi,IDN,-6.217257468,106.972323,1949165
3210,Semarang,IDN,-6.966617412,110.4200195,1342042
3211,Palembang,IDN,-2.980039043,104.7500297,1595250
3213,Ujungpandang,IDN,-5.139958884,119.4320275,1262000
3214,Medan,IDN,3.579973978,98.65004024,1932985.5
3215,Bandung,IDN,-6.950029278,107.5700126,2046859.5
3216,Surabaya,IDN,-7.249235821,112.7508333,2609829
3217,Jakarta,IDN,-6.174417705,106.8294376,8832560.5
3828,George Town,MYS,5.413613156,100.3293679,1610101
3831,Kuala Lumpur,MYS,3.166665872,101.6999833,1448000
4200,Mandalay,MMR,21.96998842,96.08502885,1167000
4203,Rangoon,MMR,16.7833541,96.16667761,3694910
4694,Quezon City,PHL,14.6504352,121.0299662,2761720
4721,Davao,PHL,7.110016906,125.6299955,1307252
4722,Manila,PHL,14.60415895,120.9822172,7088787.5
5995,Bangkok,THA,13.74999921,100.5166447,5904238
7244,Haiphong,VNM,20.83000633,106.6800927,1285847.5
7246,Hanoi,VNM,21.03332725,105.8500142,2904635
7247,Ho Chi Minh City,VNM,10.78002545,106.6950272,4390665.5
