,#cell_id,adc_id,time
0,20006,140001218,11.0
1,17810,140001855,-1.0
2,17811,140001855,-1.0
3,18888,140001855,-1.0
4,21081,140001249,10.0
5,21082,140001249,10.0
6,19999,140001232,11.0
7,20000,140001232,11.0
8,20001,140001232,11.0
9,20002,140001232,11.0
10,20003,140001232,11.0
11,20004,140001218,11.0
12,20004,140001232,11.0
13,20005,140001218,11.0
14,21083,140001232,10.0
15,21083,140001249,10.0
16,21084,140001232,10.0
17,21084,140001249,10.0
18,21085,140001218,10.0
19,21085,140001232,10.0
20,21085,140001249,10.0
21,20358,140001232,11.0
22,20359,140001232,11.0
23,20360,140001232,11.0
24,20361,140001232,11.0
25,20362,140001232,11.0
26,20363,140001218,11.0
27,20363,140001232,11.0
28,20364,140001218,11.0
29,20364,140001232,11.0
30,20365,140001218,11.0
31,20366,140001218,11.0
32,20367,140001218,11.0
33,20368,140001218,11.0
34,21086,140001218,10.0
35,21086,140001249,10.0
36,21087,140001218,10.0
37,20718,140001232,10.0
38,20719,140001232,10.0
39,20720,140001232,10.0
40,20720,140001249,10.0
41,20721,140001232,10.0
42,20721,140001249,10.0
43,20722,140001232,10.0
44,20722,140001249,10.0
45,20723,140001218,10.0
46,20723,140001232,10.0
47,20723,140001249,10.0
48,20724,140001218,10.0
49,20724,140001232,10.0
50,20725,140001218,10.0
51,20725,140001232,10.0
52,20726,140001218,10.0
53,20727,140001218,10.0
54,20728,140001218,10.0
55,20729,140001218,10.0
56,20730,140001218,10.0
57,21078,140001232,10.0
58,21078,140001249,10.0
59,21079,140001232,10.0
60,21079,140001249,10.0
61,21080,140001232,10.0
62,21080,140001249,10.0
63,21088,140001218,10.0
64,21089,140001218,10.0
65,21090,140001218,10.0
66,21091,140001218,10.0
67,21091,140001220,10.0
68,21806,140001248,10.0
69,21807,140001248,10.0
70,21438,140001232,10.0
71,21438,140001249,10.0
72,21439,140001232,10.0
73,21439,140001249,10.0
74,21440,140001249,10.0
75,21441,140001249,10.0
76,21442,140001249,10.0
77,21443,140001249,10.0
78,21444,140001249,10.0
79,21445,140001248,10.0
80,21445,140001249,10.0
81,21446,140001218,10.0
82,21446,140001248,10.0
83,21446,140001249,10.0
84,21447,140001218,10.0
85,21447,140001248,10.0
86,21448,140001218,10.0
87,21448,140001248,10.0
88,21448,140001503,10.0
89,21448,140001505,10.0
90,21448,140001508,10.0
91,21449,140001218,10.0
92,21449,140001505,10.0
93,21449,140001507,10.0
94,21449,140001508,10.0
95,21450,140001218,10.0
96,21450,140001220,10.0
97,21450,140001507,10.0
98,21451,140001218,10.0
99,21451,140001220,10.0
100,21797,140001249,10.0
101,21798,140001249,10.0
102,21799,140001249,10.0
103,21800,140001249,10.0
104,21801,140001249,-1.0
105,21802,140001249,10.0
