"var","%IncMSE","IncNodePurity"
"moore",0.0330765729130465,65.8975695098312
"season_ind",0.0236124512513442,63.7586752371793
"alpha_fm",0.0257633600381692,62.4821342627546
"start_month",0.0134930431957644,46.3499421891265
"alpha_ld",0.00971656383876436,45.4643910994001
"beta",0.0149133679541991,45.3228259925176
"alpha_sd",0.010030965684673,41.8470252604853
"seed",0.0172209330123734,38.8026351752074
"latency_period",0.00585228134807756,14.326502827014
"kappa",-0.000275618284241313,2.04815912011002
"time_window",0,0
