"var","%IncMSE","IncNodePurity"
"alpha_ld",0.139049569666224,532.717076686116
"start_month",0.0584272668743305,356.045966855051
"latency_period",0.0776644402062957,275.073004378958
"alpha_fm",0.0515519528352466,251.27452368383
"alpha_sd",0.030529806638341,157.275700444452
"moore",0.0471363945805307,122.283531802398
"seed",0.0354795817693984,105.815008033451
"season_ind",0.0205821930686735,69.5632667023725
"beta",0.013281888578096,54.3119541571063
"kappa",-0.000596404769516241,3.59226289194829
"time_window",0,0
