"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.267954150388498,1203.56229272257
"moore",0.128997816502913,633.875391345721
"latency_period",0.102069823934422,376.685237794236
"a_long",0.0733329093465523,296.201490282959
"season",0.0451117866697787,168.613279554578
"seed",0.0112302632752355,39.9174960069036
"beta",0.0121230447859239,34.7441261054854
"a_local",0.00456299310144132,20.9797146638795
"a_sd",0.00126742917842627,18.3114372984845
"kappa",-0.000455418679143419,1.16175242645551
