"var","%IncMSE","IncNodePurity"
"latency_period",16222.1271452453,11551035.961832
"moore",13853.7947957711,14625016.6839081
"seed",11034.4530645652,8692769.85129059
"a_l",10217.6166468281,5114159.38901036
"start_month",3762.9825426649,2839862.68358304
"a_s",372.329364094205,328297.083915026
"a_ld",0,0
"kappa",-48.3938104754306,32184.073965682
"season",-52.5357027064124,33635.1315497523
"beta",-79.1793053717621,54877.3064963326
