"var","%IncMSE","IncNodePurity"
"a_ld",16360.2117742656,23238075.6666174
"latency_period",12198.4375911923,22999711.7030248
"moore",8967.85975002625,22434336.6186253
"start_month",5389.77441342936,16867603.5942167
"seed",4796.24960301093,9531755.61036665
"a_l",4068.36809514105,6205951.91557964
"season",1923.75430793224,2605662.13686048
"a_s",462.950101784423,1391351.10781172
"beta",343.000500055511,967096.625338655
"kappa",-27.9312229454336,47682.6681292836
