"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.266654334493204,1483.58530973321
"latency_period",0.235902554542047,1061.03681592283
"moore",0.189808437462199,1016.04115572419
"a_long",0.248561507198404,857.244007079914
"seed",0.0716991541411959,263.308357658295
"a_local",0.0405238115436393,171.308463848864
"season",0.065891109314959,169.611196397979
"beta",0.0409445176399879,139.270779597764
"a_sd",0.0145980744922874,82.8532699147208
"kappa",-0.000555418588764031,2.75145944746819
