"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.270709452529214,1459.30599129523
"latency_period",0.102295461131526,447.248644677345
"a_long",0.0705289492130972,342.067336673528
"season",0.0469639216666622,177.855592355776
"moore",0.0190209125182804,70.6227826837323
"seed",0.00767196281654542,44.7931435688157
"beta",0.0101098507312947,28.964888982802
"a_local",0.00354572978755106,15.2302278548608
"a_sd",0.00112021221811302,12.3767743952111
"kappa",-0.000261179572430827,1.00953823119283
