"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"latency_period",0.178258779516007,1257.02387189972
"a_long",0.25037223009437,1082.7826845722
"moore",0.0771396843452651,397.609440171707
"seed",0.0572346755769191,273.47764316887
"a_local",0.0365093763732074,135.971193053326
"season",0.00635027916553853,103.715851323038
"start_month",0.00720147013585431,81.7894701690426
"a_sd",0.00348116198736715,28.5536306900341
"beta",0.00112802516326998,8.59138658702994
"kappa",-0.000193872420420899,0.428281676345284
