"var","%IncMSE","IncNodePurity"
"latency_period",12590.1914611878,24489447.6453278
"a_long",15799.2121957456,22730374.0629074
"moore",8635.04686587904,21662067.2400152
"start_month",5486.34212986869,17105092.4533367
"seed",4944.0933417695,9133702.10337194
"a_local",4213.07357372231,6213735.50677126
"season",1956.61960683141,2635318.60232963
"a_sd",471.910985255932,1421888.93856953
"beta",384.306591882811,991576.131130583
"kappa",-23.9268642204668,42979.724264279
