season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,0,1000,0,5,3,0,2,400,200,0,99
2,2,500,0,4,3,0,3,100,0,150,349
2,1,1000,0,5,3,0,3,75,100,125,246
2,2,500,0,5,2,0,3,50,50,200,202
1,2,500,0,4,3,0,2,200,0,0,129
2,0,1000,0,4,2,0,1,150,0,0,1
2,2,1000,0,5,1,0,3,400,50,150,287
2,1,1000,0,5,3,0,3,125,25,50,240
2,1,500,1,5,1,0,3,125,0,50,277
2,2,1000,0,4,2,0,3,400,400,200,295
2,0,1000,0,5,1,0,3,50,0,150,270
2,2,1000,0,5,2,0,3,400,100,150,165
1,1,1000,0,3,3,0,2,200,200,0,85
2,2,500,0,5,2,0,3,200,0,100,185
2,1,1000,0,4,2,0,3,400,600,200,309
2,2,500,0,4,3,0,3,75,50,100,342
2,1,500,0,5,3,0,2,400,200,0,99
2,1,500,0,4,2,0,3,200,600,400,309
1,1,1000,0,4,1,0,3,400,0,600,413
2,0,500,0,3,3,0,2,600,200,0,83
2,0,500,0,3,1,0,3,200,0,50,383
2,1,500,0,4,3,0,3,50,50,75,362
1,2,1000,0,3,3,0,2,600,400,0,93
2,2,1000,0,4,3,0,3,100,100,100,330
1,1,500,0,4,1,0,3,400,0,600,413
2,2,500,0,5,3,0,3,150,0,50,217
2,2,500,0,4,3,0,3,50,100,50,338
2,1,500,0,5,3,0,3,300,0,200,257
2,2,1000,0,5,3,0,3,200,400,600,213
2,1,500,0,5,2,0,3,125,75,25,199
2,2,500,0,4,3,0,3,200,100,200,332
1,1,500,0,3,3,0,2,200,200,0,85
2,2,1000,0,5,2,0,3,125,25,25,199
2,1,500,0,5,2,0,3,200,50,200,177
2,2,500,0,4,3,0,3,600,400,400,335
2,1,1000,0,5,3,0,3,200,600,600,248
2,0,500,0,4,1,0,3,75,0,25,380
1,2,500,0,5,1,0,1,400,100,0,444
2,2,500,0,3,2,0,1,100,0,0,16
2,2,1000,0,5,3,0,3,100,75,100,205
1,0,500,1,4,2,0,2,25,25,0,67
1,0,1000,1,3,2,0,2,300,100,0,26
2,1,500,0,4,2,0,3,150,0,100,317
2,2,1000,0,5,2,0,3,400,200,400,163
1,0,1000,0,4,2,0,1,150,0,0,1
2,2,500,0,4,3,0,2,400,400,0,95
2,2,1000,0,3,2,0,3,125,50,25,385
2,1,1000,0,5,2,0,3,100,50,100,174
2,2,500,0,4,3,0,3,100,50,50,340
2,2,500,0,4,2,0,3,200,50,100,293
2,2,1000,0,5,3,0,3,125,25,150,204
1,1,500,1,4,2,0,2,600,600,0,49
2,1,500,0,5,2,0,3,300,100,50,194
2,0,1000,0,5,2,0,3,25,0,125,264
2,1,500,0,5,2,0,3,50,0,75,191
2,1,500,0,5,2,0,3,400,400,600,170
2,2,500,1,3,3,0,2,300,0,0,155
1,0,1000,1,3,2,0,2,300,50,0,28
2,2,500,0,4,2,0,3,600,600,200,294
2,2,1000,0,5,2,0,3,75,50,100,195
2,0,500,1,4,2,0,1,150,0,0,426
1,1,1000,0,3,3,0,2,400,50,0,74
2,2,1000,0,4,3,0,3,200,0,100,351
2,2,500,0,5,3,0,3,50,100,125,234
2,1,1000,0,5,3,0,3,100,50,25,228
2,1,1000,1,5,1,0,3,150,0,25,276
1,2,500,0,4,1,0,3,150,0,150,411
2,1,500,0,5,3,0,3,200,200,400,251
2,0,1000,0,3,1,0,3,150,0,50,382
2,2,500,1,5,1,0,3,300,0,150,279
2,1,500,0,5,3,0,3,25,0,50,239
2,1,1000,0,5,3,0,3,400,200,200,252
1,2,1000,1,4,2,0,2,100,100,0,42
1,2,1000,1,5,3,0,2,200,0,0,145
2,2,1000,0,5,2,0,3,100,0,150,188
2,2,1000,0,3,2,0,3,75,75,25,385
2,2,1000,1,5,1,0,2,15,0,10,396
2,1,1000,0,5,1,0,1,400,100,0,444
1,2,1000,0,4,3,0,2,400,100,0,82
2,1,1000,0,4,2,0,3,200,200,600,310
2,1,500,0,4,2,0,3,100,100,125,306
2,0,500,0,5,1,0,3,400,0,400,272
2,2,1000,0,5,2,0,3,75,0,25,190
2,2,1000,0,5,2,0,3,100,50,50,196
2,2,1000,1,5,3,0,2,200,0,0,144
1,0,500,0,5,1,0,1,400,200,0,438
2,2,500,0,4,3,0,3,125,100,25,356
1,0,1000,0,4,3,0,2,400,400,0,95
2,1,500,0,4,3,0,3,150,100,25,354
2,0,500,0,3,1,0,3,50,0,50,384
2,0,500,1,4,2,0,2,200,600,0,50
2,1,1000,0,4,3,0,3,100,75,150,374
2,2,1000,0,4,3,0,3,400,600,400,334
2,1,500,0,5,3,0,3,200,100,150,254
2,1,1000,0,5,3,0,3,100,0,125,258
2,2,500,0,4,2,0,3,75,100,150,303
2,2,500,1,3,2,0,2,300,100,0,26
2,2,500,0,4,3,0,3,125,25,25,356
2,1,500,0,4,3,0,3,200,400,200,375
2,1,500,0,5,3,0,2,100,0,0,134
2,2,1000,0,5,2,0,3,50,100,100,202
2,1,1000,0,4,3,0,3,400,400,400,367
1,1,1000,1,4,2,0,2,600,600,0,49
2,1,1000,0,4,3,0,3,125,25,100,372
2,2,1000,0,4,2,0,3,100,50,150,297
2,1,1000,0,5,3,0,2,200,0,0,136
2,1,1000,0,3,3,0,2,50,50,0,112
2,2,500,0,4,2,0,3,400,0,150,329
2,1,500,0,4,2,0,3,400,0,50,320
2,2,1000,0,4,3,0,3,200,0,600,351
2,2,500,1,3,2,0,2,600,200,0,35
2,1,1000,1,4,1,0,3,100,0,50,403
2,2,500,0,4,3,0,3,75,100,25,355
2,1,1000,0,4,3,0,3,150,75,50,361
1,0,500,0,5,1,0,3,125,0,25,273
1,1,500,1,4,2,0,2,300,50,0,32
1,1,500,1,5,2,0,1,150,0,0,423
2,2,1000,0,4,3,0,3,400,50,200,334
2,2,1000,0,5,3,0,3,100,25,125,205
1,2,1000,0,4,1,0,3,125,0,125,411
2,2,1000,0,5,2,0,3,400,0,50,186
2,2,500,0,4,3,0,3,100,25,75,331
2,2,500,1,5,3,0,2,600,0,0,142
1,1,500,0,4,1,0,2,25,0,5,284
2,0,500,0,3,2,0,1,200,0,0,4
1,0,500,0,5,1,0,1,100,100,0,443
2,2,1000,0,3,2,0,3,150,100,25,385
1,0,500,0,4,3,0,2,100,0,0,131
2,1,500,0,4,2,0,3,150,25,25,290
2,1,500,1,4,2,0,2,300,50,0,32
2,2,500,0,5,2,0,3,100,25,100,195
2,2,1000,0,5,3,0,3,50,25,50,232
2,1,500,0,5,2,0,3,600,0,200,178
2,0,500,1,4,2,0,2,400,400,0,47
2,1,1000,0,5,3,0,3,125,50,75,243
1,2,1000,1,4,2,0,2,400,200,0,65
2,2,1000,0,4,2,0,3,150,75,25,291
2,2,500,0,4,2,0,3,600,0,400,328
2,1,500,0,5,2,0,3,150,75,150,175
1,0,1000,0,4,3,0,2,200,600,0,102
2,2,500,0,5,2,0,3,125,75,150,166
2,1,500,0,3,3,0,2,400,0,0,118
2,1,1000,0,5,2,0,3,50,0,125,191
2,2,500,0,4,2,0,3,400,50,50,288
2,1,1000,0,4,3,0,3,300,100,150,375
1,1,1000,0,3,3,0,2,50,50,0,112
2,1,1000,1,5,1,0,3,75,0,75,275
1,1,1000,0,5,3,0,2,200,0,0,136
2,2,1000,1,5,2,0,2,300,50,0,40
2,1,1000,0,5,3,0,3,300,50,200,251
2,0,500,0,5,1,0,3,125,0,25,267
2,2,1000,0,5,2,0,3,125,0,100,188
2,1,500,0,5,3,0,3,100,100,200,242
2,0,1000,0,4,3,0,2,600,0,0,121
2,0,1000,0,5,2,0,3,50,0,25,265
2,2,1000,0,4,3,0,3,100,50,50,340
2,2,1000,0,4,3,0,2,400,400,0,95
1,1,500,0,5,1,0,1,400,400,0,432
2,1,500,0,5,2,0,3,300,50,200,173
2,0,500,0,4,1,0,3,150,0,125,378
1,2,500,1,5,2,0,1,300,0,0,417
2,2,1000,0,4,2,0,3,125,0,25,321
2,2,1000,1,4,1,0,3,200,0,50,403
1,2,500,1,3,2,0,2,400,600,0,61
2,1,500,0,4,3,0,2,400,100,0,83
2,1,500,0,4,3,0,2,200,0,0,129
1,0,500,0,5,3,0,2,200,50,0,107
2,2,1000,0,4,3,0,3,100,0,75,349
2,2,500,0,5,2,0,3,125,25,25,199
2,2,500,0,4,2,0,3,300,50,100,296
1,2,500,0,3,3,0,2,150,100,0,81
2,2,1000,0,5,2,0,3,150,50,150,166
2,1,500,0,5,3,0,3,25,25,150,237
2,0,1000,0,4,3,0,2,400,100,0,82
2,0,500,0,3,1,0,3,125,0,50,383
2,1,1000,0,4,2,0,3,100,0,125,318
2,2,500,0,5,3,0,3,75,50,75,231
2,1,500,0,5,2,0,3,125,0,25,190
2,1,500,1,5,1,0,3,200,0,50,278
2,1,500,0,5,3,0,3,100,100,25,229
2,2,1000,0,4,3,0,3,400,100,100,334
2,2,1000,1,4,1,0,3,50,0,25,402
2,1,1000,0,5,3,0,3,150,75,150,242
1,1,500,0,3,3,0,2,300,50,0,74
2,2,1000,0,4,3,0,3,50,100,50,338
2,2,1000,1,4,3,0,2,100,0,0,158
2,1,500,0,5,3,0,3,100,0,75,259
2,2,1000,0,5,2,0,3,200,0,100,185
2,2,1000,0,4,3,0,3,75,50,100,342
2,1,500,0,4,3,0,3,300,0,50,345
2,1,500,1,4,2,0,2,25,10,0,69
2,0,1000,0,4,1,0,3,100,0,50,378
1,2,1000,1,4,3,0,2,100,0,0,158
2,0,500,0,4,1,0,3,400,0,50,378
2,1,500,0,3,3,0,2,300,50,0,74
2,0,1000,1,4,2,0,2,100,100,0,42
2,2,1000,0,5,2,0,3,100,100,150,167
2,1,500,0,5,2,0,3,50,25,125,203
2,0,1000,0,5,1,0,3,400,0,200,269
2,2,1000,0,4,3,0,3,100,0,150,349
2,0,1000,0,5,1,0,3,50,0,75,270
2,2,1000,0,5,2,0,3,50,50,200,202
1,1,500,0,3,2,0,1,100,0,0,16
2,1,500,1,4,2,0,2,100,100,0,42
2,2,1000,0,5,3,0,3,300,0,50,226
1,0,1000,0,4,3,0,2,600,0,0,121
2,2,500,1,5,2,0,2,200,600,0,59
1,1,1000,0,5,1,0,1,400,400,0,432
2,1,1000,0,5,2,0,3,125,100,125,175
2,0,500,0,5,3,0,2,200,50,0,107
2,1,500,1,4,1,0,3,75,0,75,403
1,2,500,0,4,1,0,3,150,0,50,408
2,0,500,0,4,2,0,1,400,0,0,9
1,1,1000,1,4,2,0,2,400,50,0,32
2,1,1000,0,4,1,0,2,25,0,10,283
2,2,500,0,5,3,0,3,600,0,400,224
2,1,500,1,4,2,0,2,400,200,0,65
2,1,1000,0,4,2,0,3,150,100,25,290
2,1,1000,0,4,2,0,3,125,50,75,306
2,1,500,0,4,3,0,3,600,0,200,364
2,2,1000,0,5,3,0,3,150,75,25,227
1,1,1000,0,4,3,0,2,100,0,0,131
2,2,1000,1,5,1,0,3,150,0,125,280
1,0,1000,0,4,3,0,2,300,50,0,73
2,1,500,0,4,2,0,3,100,75,150,305
2,2,1000,0,4,2,0,3,600,200,200,294
2,1,500,0,5,3,0,3,150,25,25,228
2,0,1000,0,5,1,0,1,150,50,0,439
2,2,500,0,5,3,0,3,50,0,125,220
2,2,500,0,4,2,0,3,150,25,100,298
2,1,500,0,4,2,0,3,125,25,100,306
1,0,500,0,5,3,0,2,200,0,0,136
2,2,1000,0,4,3,0,3,400,100,50,337
1,2,500,0,5,1,0,1,100,50,0,440
1,2,500,1,3,2,0,2,200,400,0,63
2,2,1000,0,4,3,0,3,125,0,100,350
1,0,500,0,3,3,0,2,50,50,0,112
2,2,500,0,4,3,0,3,400,100,150,334
2,2,1000,0,4,3,0,2,200,600,0,102
1,1,500,0,5,1,0,1,200,600,0,435
2,2,500,0,5,3,0,3,400,400,200,209
2,1,500,1,3,3,0,2,150,0,0,157
2,2,500,0,5,3,0,3,400,50,50,215
2,1,500,0,4,3,0,3,600,600,600,369
2,2,500,0,5,2,0,3,75,0,75,191
2,0,1000,1,4,2,0,2,400,200,0,65
2,0,1000,0,4,1,0,3,125,0,125,379
2,1,1000,0,5,2,0,3,150,75,50,193
2,2,1000,0,5,2,0,3,600,400,400,162
1,1,500,0,5,2,0,1,400,0,0,11
2,2,500,1,5,2,0,2,400,400,0,52
2,2,1000,0,5,2,0,3,200,0,600,180
2,2,500,0,5,1,0,1,100,50,0,440
1,1,1000,0,5,1,0,1,200,600,0,435
2,2,500,0,4,2,0,3,200,400,600,292
2,2,500,0,5,3,0,3,400,0,150,223
2,1,1000,0,5,2,0,3,600,600,400,170
2,2,1000,0,5,2,0,3,200,100,200,161
2,0,500,0,5,1,0,1,600,600,0,433
2,2,1000,0,5,3,0,3,50,0,200,220
2,2,500,0,5,2,0,3,100,100,100,167
2,1,1000,0,4,3,0,2,100,0,0,131
2,0,500,0,5,1,0,3,100,75,50,261
2,2,1000,0,5,2,0,3,75,75,50,200
2,1,1000,0,5,3,0,3,300,100,50,241
2,2,500,0,4,3,0,3,400,200,400,334
1,1,1000,0,4,1,0,2,25,0,10,284
2,2,500,0,5,2,0,3,100,25,75,195
2,2,500,0,5,3,0,3,25,50,100,236
2,2,500,0,3,2,0,3,50,100,75,386
2,0,1000,0,5,1,0,3,150,0,25,267
2,1,500,0,4,3,0,3,50,0,200,365
2,1,1000,0,4,2,0,3,150,100,100,304
2,2,1000,0,4,3,0,3,150,25,125,333
2,2,500,0,5,3,0,3,50,50,25,238
1,0,500,1,3,2,0,2,150,100,0,27
1,2,1000,0,5,3,0,2,100,100,0,110
2,0,500,0,5,1,0,1,200,50,0,439
2,0,500,1,5,2,0,2,400,50,0,40
2,2,1000,0,5,2,0,3,150,100,75,197
2,1,1000,0,4,3,0,3,125,0,75,366
2,2,500,0,5,2,0,3,125,0,100,188
2,1,1000,0,4,2,0,3,100,0,25,321
2,1,500,0,5,3,0,3,400,100,200,253
2,2,1000,0,5,3,0,3,600,600,200,210
2,2,1000,0,4,2,0,3,400,50,50,288
2,1,500,0,4,3,0,3,50,100,150,359
1,2,1000,0,3,3,0,2,150,50,0,76
2,1,500,0,5,3,0,3,100,50,100,243
2,1,1000,0,5,3,0,3,600,400,200,252
2,0,1000,1,5,2,0,2,100,50,0,46
2,1,1000,1,4,2,0,1,300,0,0,422
2,1,500,0,5,2,0,3,600,200,600,171
2,1,500,0,5,2,0,3,50,75,100,203
1,2,500,0,5,3,0,2,50,100,0,115
2,2,500,0,4,2,0,3,150,75,25,291
2,1,1000,0,4,2,0,3,75,100,50,307
2,2,1000,0,4,2,0,3,600,0,400,328
2,2,500,1,5,2,0,1,150,0,0,423
1,2,500,1,5,2,0,2,150,50,0,45
2,1,500,0,5,2,0,3,75,25,150,192
1,1,500,0,5,3,0,2,600,600,0,101
2,1,1000,0,5,3,0,3,200,50,200,251
2,1,500,1,5,1,0,3,400,0,200,279
2,2,500,0,4,3,0,3,100,50,200,330
1,1,500,1,5,3,0,2,600,0,0,141
1,0,500,0,3,3,0,2,400,600,0,94
2,1,1000,0,5,3,0,3,50,75,50,244
2,2,500,1,5,2,0,2,150,50,0,45
2,2,1000,0,4,3,0,3,100,25,75,331
1,2,1000,0,4,1,0,3,100,0,200,415
2,2,500,0,5,3,0,2,50,100,0,115
1,1,1000,0,5,3,0,2,600,600,0,101
2,1,1000,0,4,3,0,3,600,200,400,367
1,2,500,0,3,3,0,2,400,0,0,118
1,0,1000,1,5,2,0,2,400,400,0,52
2,0,500,0,5,3,0,2,200,600,0,105
2,1,500,0,4,3,0,3,100,75,75,361
2,0,500,0,4,1,0,3,300,0,150,379
2,1,1000,0,4,2,0,3,50,50,100,305
2,2,500,0,4,3,0,3,200,0,600,351
2,2,1000,1,3,2,0,2,600,200,0,35
2,1,500,0,5,3,0,3,125,100,50,245
2,2,500,0,5,3,0,3,150,100,50,216
2,2,1000,0,4,3,0,3,75,100,25,355
1,0,500,0,5,1,0,1,200,50,0,439
1,0,500,1,5,2,0,2,400,50,0,40
2,1,1000,1,5,1,0,3,50,0,150,274
1,1,1000,1,4,2,0,1,300,0,0,422
1,2,1000,1,5,2,0,2,400,100,0,58
2,1,1000,1,3,2,0,2,200,400,0,63
2,1,500,0,5,2,0,3,75,100,125,192
2,2,500,0,5,2,0,3,400,600,400,163
2,2,1000,0,4,2,0,3,400,0,150,329
2,1,1000,0,4,2,0,3,200,0,200,315
2,1,1000,0,5,2,0,3,300,100,100,176
2,2,500,0,5,3,0,3,75,25,50,231
2,0,500,1,4,3,0,2,600,0,0,138
1,0,500,0,3,3,0,2,200,400,0,92
2,2,1000,1,3,2,0,2,300,100,0,26
2,2,1000,0,4,3,0,3,125,25,25,356
2,1,500,0,4,2,0,3,300,0,200,315
1,0,1000,1,4,2,0,1,400,0,0,420
2,1,500,0,4,3,0,3,125,75,25,354
1,1,500,1,3,3,0,2,300,0,0,155
1,2,500,0,5,2,0,3,50,0,75,398
1,1,1000,1,4,2,0,2,25,25,0,67
2,2,500,0,5,2,0,3,100,50,50,196
2,2,500,0,4,3,0,3,75,0,25,358
1,2,1000,0,4,2,0,1,300,0,0,10
2,1,500,0,3,1,0,2,25,0,20,406
2,1,1000,0,4,2,0,3,150,50,100,304
2,1,1000,0,5,2,0,3,150,0,50,187
2,1,500,0,5,2,0,3,25,0,100,287
2,1,500,0,5,3,0,3,150,0,100,258
2,2,500,0,5,3,0,2,100,50,0,109
2,2,1000,0,4,3,0,3,150,75,100,333
2,1,1000,1,5,1,0,3,75,0,100,275
2,2,1000,0,4,2,0,1,300,0,0,10
2,1,1000,0,4,2,0,3,125,25,50,307
2,2,500,0,5,2,0,3,100,0,150,188
2,1,1000,1,3,2,0,2,400,600,0,61
2,2,500,0,4,3,0,3,50,50,200,343
2,1,1000,1,4,2,0,2,25,25,0,67
1,2,500,0,5,3,0,2,100,50,0,109
2,1,500,0,5,2,0,3,200,100,50,194
2,0,1000,0,3,3,0,2,600,400,0,93
1,1,500,0,5,2,0,3,25,0,100,399
2,2,500,0,4,2,0,3,150,75,125,293
2,2,1000,1,5,1,0,3,300,0,150,279
2,1,500,0,4,2,0,3,125,75,125,306
2,0,500,0,5,3,0,2,400,400,0,100
2,0,1000,0,5,3,0,2,150,50,0,108
1,2,1000,0,5,3,0,2,400,200,0,99
2,0,1000,1,5,2,0,2,50,100,0,38
2,2,500,0,5,2,0,3,75,50,100,195
2,1,500,0,3,3,0,2,600,400,0,93
2,2,500,0,4,3,0,3,200,0,100,351
1,0,1000,1,5,2,0,2,200,600,0,59
2,2,500,0,4,2,0,3,400,50,150,295
2,1,500,0,4,2,0,3,200,100,100,306
2,1,1000,0,3,3,0,2,150,100,0,81
1,2,500,0,5,3,0,2,100,0,0,134
1,1,1000,0,4,3,0,2,200,50,0,71
2,0,1000,1,4,2,0,1,400,0,0,420
2,1,500,0,4,3,0,3,200,100,200,375
2,2,500,0,5,3,0,3,125,0,150,222
2,1,500,0,5,3,0,2,400,0,0,125
1,0,1000,0,4,3,0,2,200,400,0,103
2,1,1000,0,4,3,0,3,100,25,50,361
2,0,500,1,4,2,0,2,400,600,0,48
2,2,1000,0,4,3,0,3,50,25,25,355
2,1,500,0,4,3,0,3,600,400,400,368
2,2,1000,0,4,2,0,3,50,50,125,301
2,2,1000,0,4,3,0,2,150,0,0,127
2,2,500,0,4,3,0,3,150,75,75,333
1,1,500,0,4,3,0,2,300,50,0,73
2,1,1000,0,5,3,0,3,100,75,100,243
1,2,1000,0,4,3,0,2,200,100,0,86
2,1,500,0,5,3,0,3,50,75,150,247
2,0,500,0,5,1,0,3,200,0,400,269
2,2,500,0,5,3,0,3,125,100,75,207
2,1,500,0,5,3,0,3,150,100,75,240
2,1,500,0,5,3,0,3,50,25,25,238
2,0,500,0,4,1,0,3,125,0,50,378
1,1,1000,0,3,3,0,2,200,0,0,128
2,2,1000,0,5,2,0,3,100,50,100,195
2,0,500,0,4,3,0,2,150,100,0,87
2,2,500,0,5,2,0,3,25,0,125,287
2,1,500,0,5,3,0,3,75,25,100,247
2,1,1000,0,5,3,0,3,125,25,150,242
1,1,500,0,5,1,0,3,100,25,125,400
1,1,1000,0,5,3,0,2,50,50,0,115
1,0,500,0,5,1,0,1,200,200,0,437
2,2,500,0,5,2,0,3,75,100,100,195
2,1,500,0,5,3,0,3,600,200,200,253
1,2,500,0,4,1,0,3,600,0,200,415
2,1,500,0,4,3,0,2,300,50,0,73
2,0,500,0,3,1,0,3,400,0,50,383
2,2,1000,0,5,2,0,3,125,100,50,196
2,0,500,1,5,2,0,2,50,50,0,39
1,2,1000,0,4,3,0,2,150,0,0,127
2,0,1000,0,3,1,0,3,100,0,50,382
2,2,500,0,5,3,0,3,100,50,125,205
2,1,1000,0,5,3,0,2,50,50,0,115
2,1,500,0,5,1,0,1,600,200,0,438
2,1,500,0,5,3,0,3,75,0,50,219
2,2,1000,0,5,3,0,3,75,100,125,233
2,1,1000,0,5,1,0,1,200,100,0,445
2,1,1000,1,5,1,0,3,100,0,25,276
2,1,1000,0,5,2,0,3,100,0,200,189
2,1,500,0,4,2,0,3,100,75,25,290
2,1,1000,0,3,3,0,2,200,0,0,128
2,0,500,0,5,2,0,1,200,0,0,19
2,0,1000,0,5,1,0,1,600,200,0,438
2,2,500,0,5,3,0,3,125,50,50,206
2,2,1000,0,5,2,0,3,600,600,600,162
2,2,1000,0,5,3,0,2,300,50,0,84
2,2,500,1,3,3,0,2,600,0,0,148
2,2,1000,0,4,2,0,3,75,100,75,300
1,2,500,1,5,2,0,2,300,100,0,58
2,2,500,0,4,2,0,3,200,600,400,292
2,1,1000,0,5,2,0,3,600,400,600,170
2,2,1000,0,4,3,0,3,400,0,100,346
2,0,500,0,5,1,0,3,150,0,200,268
2,2,1000,1,3,3,0,2,200,0,0,154
2,2,500,0,4,2,0,3,100,25,150,298
2,2,500,0,4,2,0,3,200,50,50,288
1,0,1000,1,4,2,0,2,150,100,0,43
2,1,500,0,4,3,0,3,100,100,150,372
2,0,1000,0,5,1,0,1,300,100,0,444
2,2,1000,0,4,2,0,3,125,25,75,299
2,1,500,0,4,2,0,3,150,75,100,306
1,0,1000,0,3,3,0,2,300,50,0,74
1,1,1000,1,4,3,0,2,150,0,0,150
2,1,500,0,4,2,0,3,125,75,75,306
2,1,1000,0,5,3,0,3,300,100,200,252
1,2,500,1,5,2,0,2,600,200,0,54
2,2,500,0,4,2,0,3,125,75,100,297
2,1,1000,0,4,2,0,3,100,100,75,306
1,1,1000,1,3,2,0,2,400,50,0,28
1,1,1000,1,4,2,0,2,600,400,0,47
2,1,500,0,3,3,0,2,100,0,0,130
2,1,500,0,5,1,0,1,300,100,0,444
2,1,500,0,5,2,0,3,150,0,150,179
1,2,1000,1,4,2,0,2,200,200,0,66
2,0,500,1,4,2,0,2,200,400,0,51
2,0,500,0,5,1,0,3,50,0,50,267
1,0,1000,0,4,3,0,2,400,600,0,97
1,0,500,0,4,3,0,2,400,0,0,120
2,1,500,0,3,1,0,2,25,0,10,406
2,2,500,0,5,3,0,3,100,0,100,222
2,2,500,1,5,3,0,2,300,0,0,143
1,2,500,0,4,1,0,2,25,0,5,284
2,1,500,0,5,2,0,3,150,50,50,193
1,1,500,0,4,2,0,1,200,0,0,2
1,1,500,1,4,2,0,2,600,400,0,47
2,2,1000,0,4,3,0,3,75,25,75,342
2,1,500,0,5,2,0,3,400,100,100,176
2,1,1000,1,4,1,0,3,150,0,50,403
2,1,1000,0,4,2,0,3,125,50,125,304
2,1,500,1,4,1,0,3,25,0,100,403
2,2,500,0,5,3,0,3,75,50,150,233
1,2,1000,1,3,3,0,2,200,0,0,154
2,2,500,0,4,2,0,3,200,0,150,327
2,2,1000,0,4,3,0,3,125,75,125,330
2,2,1000,0,4,3,0,3,400,0,600,346
1,1,500,1,4,2,0,2,50,50,0,37
2,2,1000,0,5,3,0,3,200,100,50,216
2,1,1000,1,4,3,0,2,150,0,0,150
2,1,500,0,5,3,0,3,75,25,75,245
2,2,500,0,5,3,0,3,125,50,150,204
2,1,500,0,5,3,0,3,150,50,150,242
1,2,1000,0,4,3,0,2,150,50,0,78
2,2,500,0,4,3,0,3,150,0,25,358
2,1,1000,0,4,3,0,3,75,50,125,373
2,2,1000,1,4,2,0,2,20,25,0,67
1,2,1000,1,4,2,0,2,50,100,0,36
2,1,500,0,5,3,0,3,50,0,100,219
2,1,1000,0,4,3,0,3,150,100,200,374
2,2,1000,0,5,1,0,1,300,50,0,441
2,2,500,1,4,2,0,2,150,100,0,43
2,2,1000,0,5,3,0,3,300,50,200,212
1,1,500,1,3,2,0,2,400,100,0,26
2,2,500,0,4,3,0,2,400,600,0,97
2,2,500,0,5,3,0,3,125,25,75,207
2,1,1000,0,4,2,0,3,125,100,100,304
1,1,500,0,4,1,0,3,200,0,100,410
1,1,1000,0,3,3,0,2,100,100,0,80
2,2,1000,0,5,3,0,3,200,50,50,216
2,2,500,0,5,2,0,1,100,0,0,20
2,2,1000,0,4,3,0,3,50,0,100,357
2,2,500,0,5,3,0,3,100,100,200,205
2,2,1000,0,5,3,0,3,200,100,100,214
2,2,500,1,5,1,0,2,25,0,5,397
2,1,1000,0,4,3,0,3,100,50,75,360
2,2,1000,1,5,1,0,3,125,0,25,276
1,2,500,0,4,3,0,2,50,50,0,114
1,0,500,1,4,2,0,1,600,0,0,421
2,1,500,1,5,2,0,2,200,100,0,57
2,2,1000,0,5,2,0,3,200,0,50,186
2,2,1000,0,5,3,0,3,200,0,150,221
2,2,500,0,4,2,0,3,75,75,75,300
2,1,1000,0,5,3,0,3,400,0,200,255
2,2,1000,0,4,2,0,3,75,50,150,303
2,1,1000,1,5,2,0,2,600,200,0,54
1,1,500,0,3,3,0,2,100,100,0,80
1,1,1000,0,4,1,0,3,200,0,100,410
1,0,500,0,5,3,0,2,300,100,0,89
2,2,500,0,5,2,0,3,400,0,600,184
1,1,1000,1,3,2,0,2,400,100,0,26
2,2,1000,1,5,2,0,2,200,400,0,59
1,2,1000,1,4,2,0,2,20,25,0,67
1,2,1000,0,3,3,0,2,600,600,0,94
2,1,500,1,4,1,0,3,125,0,25,402
2,1,500,0,4,2,0,3,200,0,50,320
2,0,1000,0,4,1,0,3,50,0,125,377
2,1,1000,0,5,3,0,3,100,25,125,243
2,2,1000,0,4,2,0,3,100,0,100,324
2,1,1000,0,4,3,0,3,400,50,200,368
1,2,500,0,5,1,0,3,150,25,150,401
2,1,1000,0,4,3,0,3,50,100,75,359
2,1,500,0,5,3,0,3,75,75,125,246
2,0,1000,1,5,2,0,2,200,100,0,57
1,1,1000,0,5,2,0,3,50,0,100,398
1,2,500,0,5,1,0,1,200,100,0,445
2,2,500,0,4,2,0,3,100,100,125,297
2,2,1000,0,5,2,0,3,150,75,75,197
2,1,500,0,4,2,0,3,400,100,50,308
1,0,1000,1,5,2,0,1,200,0,0,419
2,1,1000,0,4,3,0,3,125,50,25,354
2,2,500,0,3,2,0,1,400,0,0,6
2,2,1000,0,4,3,0,3,75,50,50,339
2,1,500,0,5,2,0,3,150,25,75,193
2,0,500,0,4,1,0,3,25,0,25,380
2,2,500,0,4,3,0,2,200,400,0,103
2,2,1000,0,4,3,0,3,100,75,150,330
1,1,500,0,4,1,0,3,200,0,600,413
2,1,1000,0,5,2,0,3,150,100,125,175
2,2,1000,0,4,2,0,3,125,0,150,324
2,1,1000,1,5,2,0,2,300,100,0,58
2,1,500,0,5,3,0,3,75,50,50,245
2,2,1000,0,4,3,0,3,125,25,100,333
2,2,500,0,5,2,0,3,200,50,150,161
2,1,1000,0,4,2,0,3,100,50,150,312
2,2,500,0,4,3,0,3,200,400,200,332
1,1,500,0,3,3,0,2,400,200,0,83
2,2,500,0,5,3,0,3,50,50,125,234
2,2,500,0,5,3,0,3,200,100,150,213
1,0,500,0,5,3,0,2,600,200,0,98
