cell_id,admin,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
557057,PH-SUK,19.39,19.39,19.39,8.75,8.75,8.75,8.21,8.21,8.21,11.95,11.95,11.95,26.28,26.28,26.28,11.86,11.86,11.86,11.14,11.14,11.14,16.19,16.19,16.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557058,PH-SUK,25.38,25.38,25.38,11.45,11.45,11.45,10.75,10.75,10.75,15.64,15.64,15.64,34.41,34.41,34.41,15.53,15.53,15.53,14.58,14.58,14.58,21.20,21.20,21.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557059,PH-SUK,34.15,34.15,34.15,20.06,20.06,20.06,18.56,18.56,18.56,23.53,23.53,23.53,46.29,46.29,46.29,27.19,27.19,27.19,25.16,25.16,25.16,31.89,31.89,31.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557060,PH-SUK,21.09,21.09,21.09,12.39,12.39,12.39,11.46,11.46,11.46,14.53,14.53,14.53,28.59,28.59,28.59,16.79,16.79,16.79,15.54,15.54,15.54,19.70,19.70,19.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557061,PH-SUK,42.25,42.25,42.25,23.41,23.41,23.41,22.80,22.80,22.80,27.35,27.35,27.35,57.28,57.28,57.28,31.73,31.73,31.73,30.90,30.90,30.90,37.07,37.07,37.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557062,PH-DAS,38.43,38.43,38.43,21.29,21.29,21.29,20.73,20.73,20.73,24.87,24.87,24.87,65.96,65.96,65.96,36.54,36.54,36.54,35.58,35.58,35.58,42.69,42.69,42.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557063,PH-DAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557065,PH-DAO,3.91,3.91,3.91,6.37,6.37,6.37,6.02,6.02,6.02,5.66,5.66,5.66,6.71,6.71,6.71,10.94,10.94,10.94,10.33,10.33,10.33,9.72,9.72,9.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
557066,PH-DAO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590073,MM-05,0.39,0.39,0.39,0.01,0.01,0.01,0.00,0.00,0.00,0.20,0.20,0.20,0.34,0.34,0.34,0.01,0.01,0.01,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590074,MM-05,0.37,0.37,0.37,0.01,0.01,0.01,0.00,0.00,0.00,0.19,0.19,0.19,0.32,0.32,0.32,0.01,0.01,0.01,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590075,MM-05,32.98,32.98,32.98,1.95,1.95,1.95,0.31,0.31,0.31,16.66,16.66,16.66,28.49,28.49,28.49,1.68,1.68,1.68,0.27,0.27,0.27,14.39,14.39,14.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590076,MM-05,31.64,31.64,31.64,1.87,1.87,1.87,0.29,0.29,0.29,15.98,15.98,15.98,27.33,27.33,27.33,1.61,1.61,1.61,0.25,0.25,0.25,13.80,13.80,13.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590077,MM-05,23.33,23.33,23.33,5.02,5.02,5.02,1.99,1.99,1.99,11.42,11.42,11.42,20.15,20.15,20.15,4.33,4.33,4.33,1.72,1.72,1.72,9.86,9.86,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590078,MM-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
590079,TH-77,4.75,4.75,4.75,2.96,2.96,2.96,2.50,2.50,2.50,2.26,2.26,2.26,1.56,1.56,1.56,0.97,0.97,0.97,0.82,0.82,0.82,0.74,0.74,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
