VNM,Haiphong,63277.8222114027
MYS,Seremban,47707.8410132866
BGD,Rangpur,40784.7653898642
IDN,Cirebon,34537.2707079448
BGD,Rajshahi,32064.0312378634
PHL,"Cagayan de Oro",31945.7685459334
THA,"Chiang Mai",30761.7318984021
IDN,Sukabumi,27020.8393891841
IDN,Pematangsiantar,26563.6386593264
IDN,Tasikmalaya,24037.4272912154
IDN,Bandung,23172.1672911495
VNM,"Qui Nhon",17624.8418572875
VNM,Hanoi,14883.1433776496
PHL,"Baguio City",14511.279932914
MYS,Malacca,14493.0369809412
VNM,"Rach Gia",11643.7595969895
IDN,Bengkulu,11505.8125424259
IDN,Surakarta,11415.2800694358
MYS,"Kota Baharu",10698.0878981584
IDN,Medan,10511.9046505304
