,adc_id,cell_id,time
0,17810,140001855,-1
1,17811,140001855,-1
2,18888,140001855,-1
3,19999,140001232,21
4,20000,140001232,21
5,20001,140001232,21
6,20002,140001232,21
7,20003,140001232,21
8,20004,140001218,21
9,20005,140001218,21
10,20006,140001218,21
11,20358,140001232,21
12,20359,140001232,21
13,20360,140001232,21
14,20361,140001232,21
15,20362,140001232,21
16,20363,140001218,21
17,20364,140001218,21
18,20365,140001218,21
19,20366,140001218,21
20,20367,140001218,21
21,20368,140001218,21
22,20718,140001232,20
23,20719,140001232,20
24,20720,140001232,20
25,20721,140001232,20
26,20722,140001232,20
27,20723,140001218,20
28,20724,140001218,20
29,20725,140001218,20
30,20726,140001218,20
31,20727,140001218,20
32,20728,140001218,20
33,20729,140001218,20
34,20730,140001218,20
35,21078,140001232,20
36,21079,140001232,20
37,21080,140001232,20
38,21081,140001249,20
39,21082,140001249,20
40,21083,140001232,20
41,21084,140001232,20
42,21085,140001218,20
43,21086,140001218,20
44,21087,140001218,20
45,21088,140001218,20
46,21089,140001218,20
47,21090,140001218,20
48,21091,140001218,20
49,21438,140001232,19
50,21439,140001232,19
51,21440,140001249,19
52,21441,140001249,19
53,21442,140001249,19
54,21443,140001249,19
55,21444,140001249,19
56,21445,140001248,19
57,21446,140001218,19
58,21447,140001218,19
59,21448,140001218,19
60,21449,140001218,19
61,21450,140001218,19
62,21451,140001218,19
63,21797,140001249,19
64,21798,140001249,19
65,21799,140001249,19
66,21800,140001249,19
67,21801,140001249,-1
68,21802,140001249,19
69,21803,140001249,19
70,21804,140001249,19
71,21805,140001248,19
72,21806,140001248,19
73,21807,140001248,19
74,21808,140001248,19
75,21809,140001500,19
76,21810,140001220,19
77,21811,140001220,19
78,21812,140001220,19
79,22156,140001227,18
80,22157,140001227,18
81,22158,140001227,18
82,22159,140001227,18
83,22160,140001227,18
84,22161,140001249,18
85,22162,140001249,18
86,22163,140001249,18
87,22164,140001249,18
88,22165,140001248,18
