,adc_id,cell_id,time
0,17810,140001855,-1
1,17811,140001855,-1
2,18888,140001855,-1
3,19999,140001232,-1
4,20000,140001232,-1
5,20001,140001232,-1
6,20002,140001232,-1
7,20003,140001232,-1
8,20004,140001218,-1
9,20005,140001218,-1
10,20006,140001218,-1
11,20358,140001232,-1
12,20359,140001232,-1
13,20360,140001232,-1
14,20361,140001232,-1
15,20362,140001232,-1
16,20363,140001218,-1
17,20364,140001218,-1
18,20365,140001218,-1
19,20366,140001218,-1
20,20367,140001218,-1
21,20368,140001218,-1
22,20718,140001232,-1
23,20719,140001232,-1
24,20720,140001232,-1
25,20721,140001232,-1
26,20722,140001232,-1
27,20723,140001218,-1
28,20724,140001218,-1
29,20725,140001218,-1
30,20726,140001218,-1
31,20727,140001218,-1
32,20728,140001218,-1
33,20729,140001218,-1
34,20730,140001218,-1
35,21078,140001232,-1
36,21079,140001232,-1
37,21080,140001232,-1
38,21081,140001249,-1
39,21082,140001249,-1
40,21083,140001232,-1
41,21084,140001232,-1
42,21085,140001218,-1
43,21086,140001218,-1
44,21087,140001218,-1
45,21088,140001218,-1
46,21089,140001218,-1
47,21090,140001218,-1
48,21091,140001218,-1
49,21438,140001232,-1
50,21439,140001232,-1
51,21440,140001249,-1
52,21441,140001249,-1
53,21442,140001249,-1
54,21443,140001249,-1
55,21444,140001249,-1
56,21445,140001248,-1
57,21446,140001218,-1
58,21447,140001218,-1
59,21448,140001218,-1
60,21449,140001218,-1
61,21450,140001218,-1
62,21451,140001218,-1
63,21797,140001249,-1
64,21798,140001249,-1
65,21799,140001249,-1
66,21800,140001249,-1
67,21801,140001249,-1
68,21802,140001249,-1
69,21803,140001249,-1
70,21804,140001249,-1
71,21805,140001248,-1
72,21806,140001248,-1
73,21807,140001248,-1
74,21808,140001248,-1
75,21809,140001500,-1
76,21810,140001220,-1
77,21811,140001220,-1
78,21812,140001220,-1
79,22156,140001227,-1
80,22157,140001227,-1
81,22158,140001227,-1
