,adc_id,cell_id,time
0,17810,140001855,-1
1,17811,140001855,-1
2,18888,140001855,-1
3,19999,140001232,14
4,20000,140001232,14
5,20001,140001232,14
6,20002,140001232,14
7,20003,140001232,14
8,20004,140001218,14
9,20005,140001218,14
10,20006,140001218,14
11,20358,140001232,14
12,20359,140001232,14
13,20360,140001232,14
14,20361,140001232,14
15,20362,140001232,14
16,20363,140001218,14
17,20364,140001218,14
18,20365,140001218,14
19,20366,140001218,14
20,20367,140001218,14
21,20368,140001218,14
22,20718,140001232,14
23,20719,140001232,14
24,20720,140001232,14
25,20721,140001232,14
26,20722,140001232,14
27,20723,140001218,14
28,20724,140001218,14
29,20725,140001218,14
30,20726,140001218,14
31,20727,140001218,14
32,20728,140001218,14
33,20729,140001218,14
34,20730,140001218,14
35,21078,140001232,13
36,21079,140001232,13
37,21080,140001232,13
38,21081,140001249,13
39,21082,140001249,13
40,21083,140001232,13
41,21084,140001232,13
42,21085,140001218,13
43,21086,140001218,13
44,21087,140001218,13
45,21088,140001218,13
46,21089,140001218,13
47,21090,140001218,13
48,21091,140001218,13
49,21438,140001232,13
50,21439,140001232,13
51,21440,140001249,13
52,21441,140001249,13
53,21442,140001249,14
54,21443,140001249,13
55,21444,140001249,13
56,21445,140001248,13
57,21446,140001218,13
58,21447,140001218,13
59,21448,140001218,13
60,21449,140001218,13
61,21450,140001218,13
62,21451,140001218,13
63,21797,140001249,13
64,21798,140001249,13
65,21799,140001249,13
66,21800,140001249,13
67,21801,140001249,-1
68,21802,140001249,14
69,21803,140001249,13
70,21804,140001249,13
71,21805,140001248,13
72,21806,140001248,13
73,21807,140001248,13
74,21808,140001248,13
75,21809,140001500,13
76,21810,140001220,13
77,21811,140001220,13
78,21812,140001220,13
79,22156,140001227,12
80,22157,140001227,12
81,22158,140001227,12
82,22159,140001227,12
83,22160,140001227,12
84,22161,140001249,12
85,22162,140001249,12
86,22163,140001249,12
87,22164,140001249,12
88,22165,140001248,12
