Kampot,Takeo,110,86
Kampot,Battambang,430,410
Kampot,Siem Reap,438,449
Kampot,Phnom Penh,164,146
Takeo,Battambang,419,372
Takeo,Siem Reap,413,405
Takeo,Phnom Penh,115,77
Battambang,Siem Reap,175,162
Battambang,Phnom Penh,316,293
Siem Reap,Phnom Penh,303,318
Kampong Spoe,Krong Kracheh,341,284
Kampong Thum,Krong Kracheh,321,216
Prey Veng,Krong Kracheh,242,206
Phnum Tbeng Meanchey,Krong Kracheh,276,311
Stoeng Treng,Krong Kracheh,138,150
Krong Kracheh,Senmonorom,202,201
Krong Kracheh,Lumphat,218,264
Krong Kracheh,Svay Rieng,241,192
Krong Kracheh,Sisophon,469,437
Krong Kracheh,Krong Koh Kong,540,532
Krong Kracheh,Pursat,421,386
Krong Kracheh,Kampong Cham,157,132
Krong Kracheh,Kompong Chhnang,330,288
Krong Kracheh,Kampot,422,407
Krong Kracheh,Takeo,395,355
Krong Kracheh,Battambang,515,482
Krong Kracheh,Siem Reap,379,334
Krong Kracheh,Phnom Penh,287,264
